cell_id,poi_enum
1317,170
1317,256
1317,286
1317,287
1317,288
1317,289
1317,290
1317,291
1317,292
1317,293
1317,294
1317,295
1317,296
1317,297
1317,298
1317,337
1317,380
1317,493
1317,513
1333,15
1333,302
1334,456
1339,19
1339,278
1339,279
1339,280
1339,281
1344,71
1344,87
1344,92
1344,93
1344,94
1344,125
1344,320
1344,341
1344,342
1344,345
1344,413
1344,469
1345,114
1345,131
1345,400
1345,401
1345,402
1345,403
1350,220
1361,153
1403,39
1409,123
1409,248
1409,389
1431,48
1431,109
1431,110
1431,111
1431,112
1431,472
1431,473
1449,77
1449,117
1496,335
1508,100
1513,55
1518,177
1518,240
1518,382
1518,417
1518,440
1518,464
1518,497
1518,512
1518,543
1519,511
1530,188
1531,144
1531,166
1531,167
1531,180
1531,250
1531,284
1531,344
1531,381
1537,216
1537,514
1566,174
1566,199
1566,314
1566,350
1566,351
1566,352
1566,353
1566,354
1566,355
1566,356
1566,357
1566,358
1566,359
1566,360
1566,361
1566,362
1566,384
1566,419
1566,459
1578,181
1578,517
1584,113
1601,49
1601,98
1601,146
1601,246
1601,275
1601,418
1601,524
1630,315
1642,75
1653,57
1695,404
1700,79
1700,88
1700,130
1700,165
1700,229
1700,548
1706,51
1706,145
1711,306
1711,307
1711,308
1711,491
1712,496
1752,156
1752,172
1752,232
1752,247
1752,325
1752,483
1770,222
1770,238
1770,299
1770,300
1770,547
1776,254
1781,54
1781,82
1781,128
1781,147
1781,148
1781,149
1781,150
1781,204
1781,205
1781,224
1781,252
1781,274
1781,310
1781,338
1781,485
1781,486
1781,487
1781,489
1781,522
1799,185
1799,214
1800,327
1800,328
1830,239
1831,410
1860,233
1864,72
1864,423
1869,304
1870,121
1870,414
1870,500
1870,501
1870,502
1870,503
1875,40
1875,58
1875,59
1875,60
1875,61
1875,62
1875,63
1875,64
1875,65
1875,66
1875,158
1875,159
1875,160
1875,161
1875,162
1875,317
1875,343
1875,444
1875,445
1880,135
1881,23
1881,24
1881,25
1881,26
1881,27
1881,28
1881,29
1881,30
1881,31
1881,32
1881,33
1881,34
1881,35
1881,36
1881,37
1881,38
1881,270
1881,340
1886,74
1886,107
1886,187
1886,200
1886,201
1886,202
1886,234
1886,309
1886,388
1886,439
1886,490
1934,7
1934,8
1934,210
1934,219
1934,321
1942,374
1964,17
1964,377
1969,4
1969,5
1969,6
1969,9
1969,10
1969,11
1969,12
1969,13
1969,105
1969,207
1969,221
1969,322
1969,518
1974,133
1974,134
1974,139
1974,140
1974,141
1974,163
1974,249
1974,265
1974,415
1974,424
1974,462
1974,516
1975,69
1975,73
1975,151
1975,235
1975,396
1975,412
1975,507
1980,20
1980,126
1980,136
1980,186
1980,211
1980,212
1980,213
1980,368
1980,427
1980,428
1980,429
1980,430
1980,431
1980,432
1980,433
1980,434
1980,435
1980,436
1980,437
1986,21
1986,118
1986,119
1986,137
1986,237
1986,253
1986,348
1986,369
1986,447
1986,448
1986,449
1986,450
1986,451
1986,452
1986,453
1986,454
1986,461
1986,466
1986,504
1991,225
1991,475
2033,519
2039,96
2039,115
2039,198
2039,231
2039,272
2039,273
2039,277
2039,446
2044,1
2044,18
2044,78
2044,84
2044,85
2044,86
2044,120
2044,142
2044,143
2044,182
2044,183
2044,209
2044,218
2044,283
2044,376
2044,395
2044,477
2045,203
2045,217
2050,67
2050,68
2050,157
2050,226
2050,468
2050,525
2055,22
2055,460
2061,50
2061,206
2061,264
2061,266
2061,267
2061,268
2061,269
2061,326
2061,379
2061,405
2061,406
2061,411
2061,443
2061,470
2061,484
2061,545
2061,550
2138,95
2138,318
2142,129
2142,197
2142,255
2143,103
2143,168
2143,189
2143,276
2143,347
2143,363
2143,365
2143,383
2143,426
2143,455
2143,492
2143,551
2149,70
2149,83
2149,106
2149,116
2149,173
2149,227
2149,228
2149,230
2149,333
2149,346
2149,397
2149,474
2149,494
2149,495
2149,499
2149,505
2149,506
2149,520
2150,336
2155,138
2155,179
2155,311
2155,463
2155,478
2155,479
2155,480
2155,481
2166,99
2166,339
2166,373
2166,422
2166,438
2166,441
2166,442
2166,458
2194,282
2194,467
2208,16
2208,257
2208,258
2208,259
2208,260
2208,261
2208,262
2208,263
2208,390
2208,391
2208,392
2208,393
2208,394
2208,471
2214,2
2214,3
2214,14
2214,41
2214,42
2214,43
2214,44
2214,45
2214,46
2214,47
2214,81
2214,104
2214,152
2214,169
2214,184
2214,303
2214,366
2214,375
2214,544
2219,76
2219,108
2219,208
2219,349
2219,364
2219,367
2219,386
2219,457
2219,488
2220,244
2220,251
2220,476
2225,242
2225,332
2229,378
2236,101
2313,56
2313,245
2313,271
2313,323
2313,371
2313,372
2313,407
2313,420
2313,421
2313,510
2314,319
2319,155
2319,243
2319,329
2319,330
2319,508
2319,509
2324,53
2324,102
2324,175
2324,176
2324,215
2324,301
2324,324
2324,465
2324,523
2325,122
2325,154
2325,164
2325,236
2325,305
2325,409
2330,91
2330,316
2330,408
2330,425
2334,80
2341,90
2341,171
2341,498
2341,549
2364,385
2383,132
2383,178
2383,190
2383,191
2383,192
2383,193
2383,194
2383,195
2383,196
2383,312
2383,313
2383,331
2383,334
2383,521
2383,552
2383,553
2383,554
2384,97
2394,241
2394,285
2394,526
2394,527
2394,528
2394,529
2394,530
2394,531
2394,532
2394,533
2394,534
2394,535
2394,536
2394,537
2394,538
2394,539
2394,540
2394,541
2394,542
2400,370
2411,52
2411,398
2411,399
2412,387
