cell_id,cell_names
1,C0:0
2,C0:1
3,C0:2
4,C0:3
5,C0:4
6,C0:5
7,C0:6
8,C0:7
9,C0:8
10,C0:9
11,C0:10
12,C0:11
13,C0:12
14,C0:13
15,C0:14
16,C0:15
17,C0:16
18,C0:17
19,C0:18
20,C0:19
21,C0:20
22,C0:21
23,C0:22
24,C0:23
25,C0:24
26,C0:25
27,C0:26
28,C0:27
29,C0:28
30,C0:29
31,C0:30
32,C0:31
33,C0:32
34,C0:33
35,C0:34
36,C1:0
37,C1:1
38,C1:2
39,C1:3
40,C1:4
41,C1:5
42,C1:6
43,C1:7
44,C1:8
45,C1:9
46,C1:10
47,C1:11
48,C1:12
49,C1:13
50,C1:14
51,C1:15
52,C1:16
53,C1:17
54,C1:18
55,C1:19
56,C1:20
57,C1:21
58,C1:22
59,C1:23
60,C1:24
61,C1:25
62,C1:26
63,C1:27
64,C1:28
65,C1:29
66,C1:30
67,C1:31
68,C1:32
69,C1:33
70,C1:34
71,C2:0
72,C2:1
73,C2:2
74,C2:3
75,C2:4
76,C2:5
77,C2:6
78,C2:7
79,C2:8
80,C2:9
81,C2:10
82,C2:11
83,C2:12
84,C2:13
85,C2:14
86,C2:15
87,C2:16
88,C2:17
89,C2:18
90,C2:19
91,C2:20
92,C2:21
93,C2:22
94,C2:23
95,C2:24
96,C2:25
97,C2:26
98,C2:27
99,C2:28
100,C2:29
101,C2:30
102,C2:31
103,C2:32
104,C2:33
105,C2:34
106,C3:0
107,C3:1
108,C3:2
109,C3:3
110,C3:4
111,C3:5
112,C3:6
113,C3:7
114,C3:8
115,C3:9
116,C3:10
117,C3:11
118,C3:12
119,C3:13
120,C3:14
121,C3:15
122,C3:16
123,C3:17
124,C3:18
125,C3:19
126,C3:20
127,C3:21
128,C3:22
129,C3:23
130,C3:24
131,C3:25
132,C3:26
133,C3:27
134,C3:28
135,C3:29
136,C3:30
137,C3:31
138,C3:32
139,C3:33
140,C3:34
141,C4:0
142,C4:1
143,C4:2
144,C4:3
145,C4:4
146,C4:5
147,C4:6
148,C4:7
149,C4:8
150,C4:9
151,C4:10
152,C4:11
153,C4:12
154,C4:13
155,C4:14
156,C4:15
157,C4:16
158,C4:17
159,C4:18
160,C4:19
161,C4:20
162,C4:21
163,C4:22
164,C4:23
165,C4:24
166,C4:25
167,C4:26
168,C4:27
169,C4:28
170,C4:29
171,C4:30
172,C4:31
173,C4:32
174,C4:33
175,C4:34
176,C5:0
177,C5:1
178,C5:2
179,C5:3
180,C5:4
181,C5:5
182,C5:6
183,C5:7
184,C5:8
185,C5:9
186,C5:10
187,C5:11
188,C5:12
189,C5:13
190,C5:14
191,C5:15
192,C5:16
193,C5:17
194,C5:18
195,C5:19
196,C5:20
197,C5:21
198,C5:22
199,C5:23
200,C5:24
201,C5:25
202,C5:26
203,C5:27
204,C5:28
205,C5:29
206,C5:30
207,C5:31
208,C5:32
209,C5:33
210,C5:34
211,C6:0
212,C6:1
213,C6:2
214,C6:3
215,C6:4
216,C6:5
217,C6:6
218,C6:7
219,C6:8
220,C6:9
221,C6:10
222,C6:11
223,C6:12
224,C6:13
225,C6:14
226,C6:15
227,C6:16
228,C6:17
229,C6:18
230,C6:19
231,C6:20
232,C6:21
233,C6:22
234,C6:23
235,C6:24
236,C6:25
237,C6:26
238,C6:27
239,C6:28
240,C6:29
241,C6:30
242,C6:31
243,C6:32
244,C6:33
245,C6:34
246,C7:0
247,C7:1
248,C7:2
249,C7:3
250,C7:4
251,C7:5
252,C7:6
253,C7:7
254,C7:8
255,C7:9
256,C7:10
257,C7:11
258,C7:12
259,C7:13
260,C7:14
261,C7:15
262,C7:16
263,C7:17
264,C7:18
265,C7:19
266,C7:20
267,C7:21
268,C7:22
269,C7:23
270,C7:24
271,C7:25
272,C7:26
273,C7:27
274,C7:28
275,C7:29
276,C7:30
277,C7:31
278,C7:32
279,C7:33
280,C7:34
281,C8:0
282,C8:1
283,C8:2
284,C8:3
285,C8:4
286,C8:5
287,C8:6
288,C8:7
289,C8:8
290,C8:9
291,C8:10
292,C8:11
293,C8:12
294,C8:13
295,C8:14
296,C8:15
297,C8:16
298,C8:17
299,C8:18
300,C8:19
301,C8:20
302,C8:21
303,C8:22
304,C8:23
305,C8:24
306,C8:25
307,C8:26
308,C8:27
309,C8:28
310,C8:29
311,C8:30
312,C8:31
313,C8:32
314,C8:33
315,C8:34
316,C9:0
317,C9:1
318,C9:2
319,C9:3
320,C9:4
321,C9:5
322,C9:6
323,C9:7
324,C9:8
325,C9:9
326,C9:10
327,C9:11
328,C9:12
329,C9:13
330,C9:14
331,C9:15
332,C9:16
333,C9:17
334,C9:18
335,C9:19
336,C9:20
337,C9:21
338,C9:22
339,C9:23
340,C9:24
341,C9:25
342,C9:26
343,C9:27
344,C9:28
345,C9:29
346,C9:30
347,C9:31
348,C9:32
349,C9:33
350,C9:34
351,C10:0
352,C10:1
353,C10:2
354,C10:3
355,C10:4
356,C10:5
357,C10:6
358,C10:7
359,C10:8
360,C10:9
361,C10:10
362,C10:11
363,C10:12
364,C10:13
365,C10:14
366,C10:15
367,C10:16
368,C10:17
369,C10:18
370,C10:19
371,C10:20
372,C10:21
373,C10:22
374,C10:23
375,C10:24
376,C10:25
377,C10:26
378,C10:27
379,C10:28
380,C10:29
381,C10:30
382,C10:31
383,C10:32
384,C10:33
385,C10:34
386,C11:0
387,C11:1
388,C11:2
389,C11:3
390,C11:4
391,C11:5
392,C11:6
393,C11:7
394,C11:8
395,C11:9
396,C11:10
397,C11:11
398,C11:12
399,C11:13
400,C11:14
401,C11:15
402,C11:16
403,C11:17
404,C11:18
405,C11:19
406,C11:20
407,C11:21
408,C11:22
409,C11:23
410,C11:24
411,C11:25
412,C11:26
413,C11:27
414,C11:28
415,C11:29
416,C11:30
417,C11:31
418,C11:32
419,C11:33
420,C11:34
421,C12:0
422,C12:1
423,C12:2
424,C12:3
425,C12:4
426,C12:5
427,C12:6
428,C12:7
429,C12:8
430,C12:9
431,C12:10
432,C12:11
433,C12:12
434,C12:13
435,C12:14
436,C12:15
437,C12:16
438,C12:17
439,C12:18
440,C12:19
441,C12:20
442,C12:21
443,C12:22
444,C12:23
445,C12:24
446,C12:25
447,C12:26
448,C12:27
449,C12:28
450,C12:29
451,C12:30
452,C12:31
453,C12:32
454,C12:33
455,C12:34
456,C13:0
457,C13:1
458,C13:2
459,C13:3
460,C13:4
461,C13:5
462,C13:6
463,C13:7
464,C13:8
465,C13:9
466,C13:10
467,C13:11
468,C13:12
469,C13:13
470,C13:14
471,C13:15
472,C13:16
473,C13:17
474,C13:18
475,C13:19
476,C13:20
477,C13:21
478,C13:22
479,C13:23
480,C13:24
481,C13:25
482,C13:26
483,C13:27
484,C13:28
485,C13:29
486,C13:30
487,C13:31
488,C13:32
489,C13:33
490,C13:34
491,C14:0
492,C14:1
493,C14:2
494,C14:3
495,C14:4
496,C14:5
497,C14:6
498,C14:7
499,C14:8
500,C14:9
501,C14:10
502,C14:11
503,C14:12
504,C14:13
505,C14:14
506,C14:15
507,C14:16
508,C14:17
509,C14:18
510,C14:19
511,C14:20
512,C14:21
513,C14:22
514,C14:23
515,C14:24
516,C14:25
517,C14:26
518,C14:27
519,C14:28
520,C14:29
521,C14:30
522,C14:31
523,C14:32
524,C14:33
525,C14:34
526,C15:0
527,C15:1
528,C15:2
529,C15:3
530,C15:4
531,C15:5
532,C15:6
533,C15:7
534,C15:8
535,C15:9
536,C15:10
537,C15:11
538,C15:12
539,C15:13
540,C15:14
541,C15:15
542,C15:16
543,C15:17
544,C15:18
545,C15:19
546,C15:20
547,C15:21
548,C15:22
549,C15:23
550,C15:24
551,C15:25
552,C15:26
553,C15:27
554,C15:28
555,C15:29
556,C15:30
557,C15:31
558,C15:32
559,C15:33
560,C15:34
561,C16:0
562,C16:1
563,C16:2
564,C16:3
565,C16:4
566,C16:5
567,C16:6
568,C16:7
569,C16:8
570,C16:9
571,C16:10
572,C16:11
573,C16:12
574,C16:13
575,C16:14
576,C16:15
577,C16:16
578,C16:17
579,C16:18
580,C16:19
581,C16:20
582,C16:21
583,C16:22
584,C16:23
585,C16:24
586,C16:25
587,C16:26
588,C16:27
589,C16:28
590,C16:29
591,C16:30
592,C16:31
593,C16:32
594,C16:33
595,C16:34
596,C17:0
597,C17:1
598,C17:2
599,C17:3
600,C17:4
601,C17:5
602,C17:6
603,C17:7
604,C17:8
605,C17:9
606,C17:10
607,C17:11
608,C17:12
609,C17:13
610,C17:14
611,C17:15
612,C17:16
613,C17:17
614,C17:18
615,C17:19
616,C17:20
617,C17:21
618,C17:22
619,C17:23
620,C17:24
621,C17:25
622,C17:26
623,C17:27
624,C17:28
625,C17:29
626,C17:30
627,C17:31
628,C17:32
629,C17:33
630,C17:34
631,C18:0
632,C18:1
633,C18:2
634,C18:3
635,C18:4
636,C18:5
