null_node1,null_node2,real_node1,real_node2,cos_sim_diff
3560,3555,3560,3555,-0.9414277074630314
3560,3559,3560,3559,-1.0779519447058727
3560,3564,3560,3564,-0.8300558973001783
3560,3554,3560,3554,-0.9226185272309668
3560,3565,3560,3565,-0.8767986118400125
3560,3561,3560,3561,-0.9459008924025496
3560,3556,3560,3556,-0.9219050750218923
3560,3566,3560,3566,-0.942122135683995
3560,3550,3560,3550,-1.060404445783387
3560,3551,3560,3551,-1.093045205581787
3560,3563,3560,3563,-0.9444804410187115
3560,3549,3560,3549,-0.9539467108276853
3560,3558,3560,3558,-0.9857651119667709
3560,3562,3560,3562,-0.8914260095172944
3560,3567,3560,3567,-0.9823542790874846
3560,3553,3560,3553,-0.9399655044868703
3560,3569,3560,3569,-0.9264436924404257
3560,3570,3560,3570,-0.7981986928455941
3560,3557,3560,3557,-0.8860144755475883
3560,3571,3560,3571,-0.8644939345190623
3560,3552,3560,3552,-0.9171664031187503
3560,3568,3560,3568,-0.9507719282216013
3560,3548,3560,3548,-0.8781612399165696
3560,3572,3560,3572,-1.0409814805443993
3555,3559,infinite,infinite,infinite
3555,3564,infinite,infinite,infinite
3555,3554,infinite,infinite,infinite
3555,3565,infinite,infinite,infinite
3555,3561,infinite,infinite,infinite
3555,3556,infinite,infinite,infinite
3555,3566,infinite,infinite,infinite
3555,3550,infinite,infinite,infinite
3555,3551,infinite,infinite,infinite
3555,3563,infinite,infinite,infinite
3555,3549,infinite,infinite,infinite
3555,3558,infinite,infinite,infinite
3555,3562,infinite,infinite,infinite
3555,3567,infinite,infinite,infinite
3555,3553,infinite,infinite,infinite
3555,3569,3555,3569,-0.8008466360452567
3555,3570,3555,3570,-0.7689954921826943
3555,3557,infinite,infinite,infinite
3555,3571,3555,3571,-0.9457303918606588
3555,3552,infinite,infinite,infinite
3555,3568,infinite,infinite,infinite
3555,3548,infinite,infinite,infinite
3555,3572,3555,3572,-0.8085244810440061
3559,3564,3559,3564,-1.0149589566024773
3559,3554,3559,3554,-0.8984083885501908
3559,3565,infinite,infinite,infinite
3559,3561,infinite,infinite,infinite
3559,3556,3559,3556,-1.0148078768942463
3559,3566,3559,3566,-1.0733192729349352
3559,3550,3559,3550,-0.8961219377240446
3559,3551,3559,3551,-1.030814625769903
3559,3563,infinite,infinite,infinite
3559,3549,3559,3549,-1.1610387629174144
3559,3558,3559,3558,-0.9633504971040878
3559,3562,infinite,infinite,infinite
3559,3567,3559,3567,-0.8782407142867095
3559,3553,3559,3553,-0.9554441808297416
3559,3569,3559,3569,-1.005471778402692
3559,3570,3559,3570,-1.0504763187663784
3559,3557,3559,3557,-1.0559653987007631
3559,3571,3559,3571,-0.8073995014598704
3559,3552,3559,3552,-0.8611273492758599
3559,3568,3559,3568,-0.8571174739120874
3559,3548,3559,3548,-0.9551597766652149
3559,3572,3559,3572,-0.751695886264614
3564,3554,3564,3554,-0.9312749245541447
3564,3565,infinite,infinite,infinite
3564,3561,infinite,infinite,infinite
3564,3556,3564,3556,-0.9285117071159478
3564,3566,3564,3566,-1.0168388605382086
3564,3550,3564,3550,-0.7653659714287471
3564,3551,3564,3551,-0.951025887586176
3564,3563,infinite,infinite,infinite
3564,3549,3564,3549,-0.8122753821499877
3564,3558,infinite,infinite,infinite
3564,3562,infinite,infinite,infinite
3564,3567,3564,3567,-0.873488938598559
3564,3553,3564,3553,-1.0830583557721067
3564,3569,3564,3569,-0.9276472401698653
3564,3570,3564,3570,-1.025456446449832
3564,3557,infinite,infinite,infinite
3564,3571,3564,3571,-0.8368751554798706
3564,3552,3564,3552,-0.784074593882019
3564,3568,3564,3568,-0.8479475324771746
3564,3548,3564,3548,-0.8542369915361544
3564,3572,3564,3572,-1.0244362433129885
3554,3565,infinite,infinite,infinite
3554,3561,infinite,infinite,infinite
3554,3556,infinite,infinite,infinite
3554,3566,infinite,infinite,infinite
3554,3550,infinite,infinite,infinite
3554,3551,infinite,infinite,infinite
3554,3563,infinite,infinite,infinite
3554,3549,3554,3549,-0.937534301866335
3554,3558,infinite,infinite,infinite
3554,3562,infinite,infinite,infinite
3554,3567,3554,3567,-0.7215775623367585
3554,3553,infinite,infinite,infinite
3554,3569,3554,3569,-0.9882072172838763
3554,3570,3554,3570,-0.8952331690028723
3554,3557,infinite,infinite,infinite
3554,3571,3554,3571,-0.9807651060424628
3554,3552,infinite,infinite,infinite
3554,3568,infinite,infinite,infinite
3554,3548,3554,3548,-0.9918904340675454
3554,3572,3554,3572,-0.8703842308009841
3565,3561,infinite,infinite,infinite
3565,3556,3565,3556,-0.9068131265883788
3565,3566,3565,3566,-0.8094917091203715
3565,3550,3565,3550,-0.8217849092536432
3565,3551,3565,3551,-0.9230556094337337
3565,3563,3565,3563,-1.097533873038424
3565,3549,3565,3549,-0.9375293020758914
3565,3558,3565,3558,-0.976908294933841
3565,3562,3565,3562,-0.7878149091759038
3565,3567,3565,3567,-0.9268295221210371
3565,3553,3565,3553,-0.9018913629629368
3565,3569,3565,3569,-0.9330627006792018
3565,3570,3565,3570,-1.0572513604302778
3565,3557,3565,3557,-0.9281669315390212
3565,3571,3565,3571,-1.0809768657270973
3565,3552,3565,3552,-0.9299749216047223
3565,3568,3565,3568,-0.8551344103602015
3565,3548,3565,3548,-0.9058641141336186
3565,3572,3565,3572,-0.886734210738752
3561,3556,3561,3556,-0.973885507767349
3561,3566,3561,3566,-0.8708010538102979
3561,3550,3561,3550,-0.9770346037440407
3561,3551,3561,3551,-1.0630468776188005
3561,3563,3561,3563,-0.982366325152051
3561,3549,3561,3549,-0.7898845161960293
3561,3558,3561,3558,-0.9155361575154086
3561,3562,3561,3562,-0.926640975152506
3561,3567,3561,3567,-0.9915465250411458
3561,3553,3561,3553,-0.9099387851452057
3561,3569,3561,3569,-0.99851320897742
3561,3570,3561,3570,-1.0814011705990154
3561,3557,3561,3557,-0.9698485204130328
3561,3571,3561,3571,-0.9530521733646953
3561,3552,3561,3552,-0.9465291301218651
3561,3568,3561,3568,-0.8225841297186707
3561,3548,3561,3548,-0.877259561321695
3561,3572,3561,3572,-0.8618453284991429
3556,3566,3556,3566,-0.8423922932570675
3556,3550,3556,3550,-0.9511415601480604
3556,3551,infinite,infinite,infinite
3556,3563,infinite,infinite,infinite
3556,3549,3556,3549,-1.0082651065073316
3556,3558,infinite,infinite,infinite
3556,3562,infinite,infinite,infinite
3556,3567,3556,3567,-0.710477476491067
3556,3553,infinite,infinite,infinite
3556,3569,3556,3569,-0.8512194674961744
3556,3570,3556,3570,-0.8040515614469409
3556,3557,infinite,infinite,infinite
3556,3571,3556,3571,-0.9624579014557169
3556,3552,infinite,infinite,infinite
3556,3568,3556,3568,-0.7819593379700055
3556,3548,3556,3548,-0.9340275241720843
3556,3572,3556,3572,-0.7020057591052125
3566,3550,3566,3550,-0.8797690533503414
3566,3551,infinite,infinite,infinite
3566,3563,infinite,infinite,infinite
3566,3549,3566,3549,-0.8061519986910283
3566,3558,infinite,infinite,infinite
3566,3562,infinite,infinite,infinite
3566,3567,3566,3567,-1.0625336050920247
3566,3553,infinite,infinite,infinite
3566,3569,3566,3569,-1.0903160668390295
3566,3570,3566,3570,-0.9183831274821259
3566,3557,infinite,infinite,infinite
3566,3571,3566,3571,-1.0999369863790946
3566,3552,infinite,infinite,infinite
3566,3568,3566,3568,-0.9187285930091514
3566,3548,3566,3548,-0.9096790678901793
3566,3572,3566,3572,-0.9695658159779036
3550,3551,infinite,infinite,infinite
3550,3563,infinite,infinite,infinite
3550,3549,3550,3549,-1.1072794400718613
3550,3558,infinite,infinite,infinite
3550,3562,infinite,infinite,infinite
3550,3567,3550,3567,-0.7630493642309544
3550,3553,infinite,infinite,infinite
3550,3569,3550,3569,-0.9484568627831151
