traj_id,cell_id,cell_names
207,3490,C12:4
17,3794,C22:8
226,3223,C3:7
470,3835,C23:19
209,3172,C1:16
455,3404,C9:8
385,3404,C9:8
130,3948,C27:12
270,3740,C20:14
483,3947,C27:11
394,3403,C9:7
491,3402,C9:6
389,3830,C23:14
273,3830,C23:14
497,3829,C23:13
374,3829,C23:13
495,3219,C3:3
7,3221,C3:5
228,3144,C0:18
462,3800,C22:14
471,3826,C23:10
370,3735,C20:9
34,3353,C7:17
235,3197,C2:11
425,3159,C1:3
454,3353,C7:17
56,3391,C8:25
299,3389,C8:23
215,3826,C23:10
403,3914,C26:8
293,3221,C3:5
239,3803,C22:17
480,3523,C13:7
365,3447,C10:21
83,3721,C19:25
376,3189,C2:3
336,3919,C26:13
449,3356,C7:20
46,3532,C13:16
362,3919,C26:13
413,3919,C26:13
298,3732,C20:6
250,3732,C20:6
3,3922,C26:16
1,3809,C22:23
160,3732,C20:6
352,3939,C27:3
278,3922,C26:16
80,3732,C20:6
76,3923,C26:17
286,3617,C16:11
111,3617,C16:11
138,3939,C27:3
31,3617,C16:11
144,3223,C3:7
291,3723,C19:27
344,3925,C26:19
331,3524,C13:8
419,3540,C13:24
26,3363,C7:27
45,3723,C19:27
150,3813,C22:27
27,3150,C0:24
300,3813,C22:27
400,3378,C8:12
302,3378,C8:12
131,3938,C27:2
272,3820,C23:4
308,3377,C8:11
129,3377,C8:11
359,3813,C22:27
204,3445,C10:19
410,3676,C18:10
261,3766,C21:10
360,3766,C21:10
411,3669,C18:3
191,3879,C25:3
280,3252,C4:6
39,3874,C24:28
203,3252,C4:6
402,3439,C10:13
414,3473,C11:17
407,3473,C11:17
104,3439,C10:13
491,3432,C10:6
304,3251,C4:5
165,3267,C4:21
293,3251,C4:5
164,3229,C3:13
252,3251,C4:5
438,3682,C18:16
163,3560,C14:14
335,3432,C10:6
40,3685,C18:19
7,3251,C4:5
8,3432,C10:6
399,3686,C18:20
354,3565,C14:19
295,3431,C10:5
341,3479,C11:23
220,3763,C21:7
212,3431,C10:5
208,3566,C14:20
408,3566,C14:20
202,3867,C24:21
225,3175,C1:19
234,3865,C24:19
10,3483,C11:27
343,3775,C21:19
358,3775,C21:19
71,3483,C11:27
171,3994,C28:28
387,3326,C6:20
367,3483,C11:27
76,3893,C25:17
112,3762,C21:6
125,3486,C12:0
147,3776,C21:20
489,3776,C21:20
