traj_id,cell_id
1162,2050
684,2011
565,2082
454,1947
1182,1882
1136,1603
353,1949
881,2140
1119,1779
271,1748
919,1837
1107,1736
1194,1703
417,1949
843,1984
705,2078
1236,2119
1241,2147
273,1977
1233,1951
903,1966
1230,1700
1039,2154
397,1810
568,1854
898,1938
798,1784
1022,2276
406,1853
285,1911
254,1566
427,1974
288,1982
251,1599
355,1883
964,1844
577,1848
1146,1946
640,2139
1055,2019
1064,2349
979,1678
873,1907
545,1768
836,2013
555,1950
1019,1745
705,2113
1222,1700
1233,1950
778,2069
1110,2383
1228,2175
454,1912
1041,1919
794,1899
1158,1941
797,1938
1003,2209
810,1778
360,2385
702,1912
918,1884
1079,1973
412,1465
1057,1902
896,1887
438,2006
467,1939
279,2350
1042,1971
305,2042
280,1939
946,1882
489,2034
278,2249
862,2350
1232,2000
972,2181
558,2186
258,1973
1150,1783
688,2216
322,1835
435,1880
941,1853
773,2010
822,1887
1239,1867
1106,1981
249,1875
263,1938
741,2119
1089,1979
1143,2046
772,2184
264,2007
490,1971
888,2036
758,2120
1008,1985
297,1970
276,1943
600,2211
977,2115
994,2054
953,2113
638,1784
684,2012
1233,1985
796,1665
465,1897
401,2385
1189,2005
339,1780
267,2049
569,2082
706,1665
1074,1897
926,2153
575,1918
1187,2151
336,2177
551,2186
411,2072
1126,1972
1048,2007
455,1748
753,2348
371,1981
768,1907
503,2152
604,1943
1094,1837
266,2082
587,1870
384,1881
832,1699
488,1871
467,1904
646,1946
1090,2079
993,1981
287,2010
889,2143
859,2245
1044,2075
487,1938
521,2248
1022,2311
697,2154
735,1854
848,1873
1228,2174
929,1738
707,1976
523,1871
969,1906
879,2013
690,1905
1101,1878
289,1912
901,2083
1028,1710
619,1566
785,1850
912,2020
492,2222
709,1603
689,1969
918,1919
567,2255
659,2002
500,1941
882,2052
310,1867
461,1748
1072,1981
304,2251
1199,2256
475,2078
628,1913
482,1945
321,2148
271,1749
818,2051
656,1818
1114,2048
385,2076
777,2115
941,1854
282,1971
297,1969
486,1967
418,2350
454,1911
1004,1906
382,1886
841,1947
1236,2118
890,1881
633,2279
572,1889
774,2069
902,1946
485,1565
1126,1973
296,1848
544,1804
1080,1883
467,1939
823,1907
1038,2143
1231,1733
502,2069
311,2140
1097,1873
654,2076
663,2243
610,2108
254,1565
953,2114
1015,1976
323,1498
704,2070
821,1780
632,2036
280,1938
426,2276
414,1984
272,1818
363,2004
574,1910
644,2214
943,1854
827,2346
686,2313
937,1868
855,2143
761,1571
477,2062
1014,2278
618,1855
269,1901
611,2255
744,2036
637,1973
1238,2010
990,2143
1233,1986
1048,2042
959,2141
804,2108
590,1904
916,2255
866,1939
773,1975
753,2349
305,2041
893,1875
1228,2173
1160,1911
423,2041
1196,2318
1111,1875
1173,1780
906,1854
1146,1947
987,1981
898,1937
1056,2348
277,1880
722,2253
1010,1881
717,1839
256,2049
600,2210
400,1916
314,1863
558,2185
788,2035
450,2083
434,1987
1147,1881
247,1838
1087,2257
822,1852
1073,1712
1112,1951
739,1949
516,2080
973,2248
1153,2176
627,2043
265,2316
1176,2184
1013,1713
389,1879
308,1981
1135,1889
273,1978
648,2254
789,2316
1220,1947
1154,1907
430,1982
331,1939
757,1850
819,2142
801,2210
517,1855
417,1948
1182,1883
794,1864
1110,2384
276,1908
455,1713
429,1917
824,1803
863,2225
911,1973
894,2047
639,2243
941,1819
688,2181
1027,2188
984,2313
372,1570
732,1977
510,1905
406,1854
933,1565
441,1854
332,2112
326,1909
1159,2280
1079,1972
1009,1983
483,1839
1126,1938
1224,1909
1181,1804
577,1847
444,1944
971,1818
1191,1853
660,1868
983,2085
918,1918
826,2011
359,1999
888,2037
729,1965
735,1889
682,1951
395,2012
787,1645
699,2218
1174,1669
405,2073
713,1939
953,2113
512,1667
798,1783
698,1840
421,1565
674,1802
951,1849
811,2011
276,1909
705,2112
928,2012
414,1985
369,1969
549,1634
449,1736
642,1703
1003,2208
1061,1907
897,2352
472,2179
1233,1987
621,2000
669,2316
740,1983
1232,2001
696,2314
1170,2109
670,2036
415,1783
339,1781
887,2313
1115,1665
1071,2244
908,1972
849,2215
940,2314
511,1948
766,1850
305,2006
1208,2077
1156,1841
896,1922
1005,2190
852,2043
938,2289
1148,1908
336,2176
978,2075
774,2034
727,1915
1113,2069
1142,1939
320,1973
508,1565
454,1910
853,2045
1162,2015
462,1820
391,1599
770,1951
1032,2191
280,1903
553,2391
587,1869
264,2006
1171,1665
1228,2172
657,2076
1202,2040
504,2153
1117,2117
707,1977
299,1946
1063,1951
818,2086
860,2037
521,2249
533,2085
502,2034
764,1672
501,2256
271,1750
1193,1838
884,1813
298,1771
270,2007
769,1866
360,2350
1051,1973
1039,2119
493,1772
1057,1937
383,1880
261,2183
619,1567
1035,2016
635,1949
1048,2043
500,1940
465,1896
649,2185
578,1699
862,2351
442,2069
875,1907
1195,1838
607,2041
321,2149
828,1946
754,1817
1026,1918
390,2250
392,2327
341,2043
1169,1919
418,2315
384,1880
401,2350
432,1700
702,1913
851,1842
950,2276
644,2213
822,1887
1106,1982
350,1948
502,2069
325,2382
1025,2047
505,2008
1209,1898
876,1365
859,2246
736,1748
664,1679
836,2014
565,2081
628,1948
1043,2175
1150,1818
886,1734
530,2115
1131,1973
536,2256
467,1940
1050,1974
1036,1912
1178,2050
785,1815
1233,1988
1107,1735
889,2178
666,2143
1074,1896
645,1772
612,2122
278,2250
704,2035
1014,2277
431,1980
297,1934
1076,1941
1064,2350
546,2254
1013,1714
412,1464
604,1944
277,1915
1052,1805
414,2020
507,1920
1237,2276
