traj_id,cell_id
1354,468
2170,401
1370,539
1466,882
1346,612
2250,608
1663,604
1794,716
1611,813
2065,567
1511,331
2170,436
1440,406
1659,644
1844,881
2150,852
1600,647
1749,608
1570,648
2220,615
1330,510
1874,232
2082,644
1435,748
1839,612
2164,443
2029,641
1683,812
1547,573
1817,608
1820,365
1675,607
2064,777
1311,401
1828,331
1682,672
1291,603
1614,819
1881,1054
2239,743
1782,922
2168,649
1919,782
1623,434
1686,640
1666,366
1452,539
2011,602
1357,984
1654,819
2236,505
1824,645
2001,849
1938,434
1753,442
2163,602
2235,743
1347,750
1917,882
2111,602
1993,574
2275,642
2182,602
2008,850
1931,680
1860,882
1648,987
1669,645
2205,503
2082,609
1758,777
1580,680
1594,641
1349,983
1590,610
1874,233
1663,569
2137,540
2175,96
1492,572
1738,744
1986,712
1515,434
1300,733
1682,637
1818,646
2230,1173
1836,820
1539,643
1392,408
1731,1171
1410,509
1572,608
1447,675
2107,546
1441,776
2211,711
1897,855
2218,642
2256,679
2207,674
1725,707
2078,710
1958,573
2073,741
1287,675
1786,331
1779,408
1917,881
1334,950
1467,816
1919,747
1405,573
1668,675
2165,915
1948,854
2100,921
1588,888
2155,613
2003,578
1613,369
1780,731
1326,677
2080,681
1881,1019
1548,607
2030,405
1845,708
1365,717
1874,198
2024,511
1324,818
2010,610
1718,744
1528,572
1937,605
1927,643
1546,610
2201,887
2255,645
1366,401
2124,785
1483,645
1915,781
2189,572
2082,608
1677,539
2067,539
1999,576
1575,747
2150,817
1975,781
1564,777
1751,640
1758,812
1976,647
1330,509
2035,682
1866,886
1455,581
2047,441
1454,606
1869,984
2093,1020
1949,579
1451,468
1477,818
1959,950
1965,850
2076,570
2011,567
2246,441
2057,677
1885,577
2006,512
1803,985
1643,542
1465,782
1327,747
1791,645
1888,683
1759,523
1844,882
1492,607
1515,399
2009,672
1449,435
2228,614
1303,885
1659,643
1887,442
2085,709
1554,645
1995,643
1865,605
1549,609
2020,745
1842,579
2163,567
1293,477
1706,613
1711,812
2111,567
2182,567
2185,578
1505,675
1308,408
1531,575
2007,641
1830,706
1286,547
1306,606
1837,1131
1807,678
1797,815
2239,708
1461,367
2229,676
1950,745
1609,612
1917,882
2146,576
1370,540
2203,441
1318,575
1550,920
1411,675
1952,887
1685,398
1721,572
2162,948
1696,648
2075,812
2091,510
2236,504
1632,604
1786,366
1510,441
1930,710
2258,581
1705,850
1602,675
1982,364
1745,675
2201,922
1439,710
2135,675
1895,374
1524,679
1729,675
1435,747
2058,646
1319,547
2126,641
1898,923
2134,542
1289,442
2055,950
2140,605
1522,572
2198,776
1323,610
1678,572
1738,709
2205,538
1424,675
1805,365
1744,680
1446,580
1931,679
1613,334
1397,374
2273,407
2017,781
1927,642
1291,604
1937,606
1349,1018
2241,569
1942,298
1388,607
1597,602
1732,580
2181,816
2277,1018
1529,477
2094,576
1822,675
1450,854
1634,678
2230,1138
1507,916
1986,713
1438,433
1889,682
1589,505
1813,576
1559,409
1834,748
2220,580
1648,988
1936,742
2120,611
1939,200
2171,675
1874,233
2260,897
1366,436
1892,298
1590,645
1363,886
1786,331
2066,641
2060,1019
2128,605
1576,578
1752,646
2222,571
1307,682
2248,263
2121,333
1872,645
1731,1170
1791,680
1799,479
1796,641
1910,400
1587,366
2170,435
1345,813
2102,573
2218,643
1919,782
2201,921
2178,678
1502,782
1899,648
1378,714
1934,578
1449,470
1793,535
1633,573
1954,67
2046,812
2161,708
1915,816
1906,850
1343,580
1593,580
1844,883
2268,747
2032,781
1394,815
1894,444
1674,680
2080,716
1659,608
1373,644
1492,608
1823,547
1312,675
1413,672
1857,508
2045,675
2240,672
1989,614
2254,1020
1929,572
2214,675
1905,745
1403,931
1951,966
1398,403
1993,575
1801,406
2200,538
2123,679
1663,570
1789,778
2001,850
1475,747
2147,645
2034,611
2082,609
1974,1132
1300,768
1321,985
1803,986
1567,343
1385,678
2183,816
1460,816
1322,784
2089,815
1531,540
1419,776
1979,612
1565,368
1677,538
1710,538
2019,333
1548,642
1511,366
1888,682
1284,1169
1604,707
1768,578
1455,616
2076,535
1875,919
2067,538
2219,538
1407,681
1780,732
2008,885
1802,577
1334,951
2246,442
1999,541
1787,331
2180,675
1817,607
1324,819
1418,580
1688,681
1462,546
2093,1021
1421,401
1852,955
1966,706
1924,846
1670,579
1968,478
1622,539
1963,883
1765,983
1558,539
1485,644
1761,888
1943,606
1971,673
1818,645
2177,675
1370,541
2189,573
1716,477
1758,777
1286,582
1928,813
1436,126
1594,642
2036,536
1762,401
1647,645
1379,813
1659,643
1733,645
1933,745
2142,815
2026,644
1835,229
1346,613
1499,747
1539,608
1315,307
1996,604
1781,574
1795,577
1326,678
1900,681
1975,816
1392,409
1704,434
1713,510
2265,847
2106,406
1722,573
1754,609
1994,715
1887,477
2239,709
1881,1020
1590,646
1867,813
1844,918
1547,608
1992,574
2224,781
2173,676
2027,645
1375,576
1927,607
2251,740
2056,573
1646,884
1310,848
1546,611
2024,476
2199,443
1868,1204
1356,580
1341,781
1666,331
1863,742
1516,676
1470,407
2220,581
1613,369
2205,539
2011,566
1560,813
1518,1020
1944,888
1563,642
