traj_id,cell_id
860,404
964,824
716,755
389,408
332,1000
821,685
73,650
716,755
978,574
823,789
327,601
151,610
319,573
716,755
633,930
145,816
83,720
642,301
963,719
89,502
258,336
391,862
744,300
332,1000
144,573
39,787
716,755
623,409
327,601
834,755
716,755
1,601
551,754
481,824
716,755
735,674
164,642
557,645
775,753
134,637
324,757
414,754
51,684
823,789
942,719
130,606
686,636
169,796
185,724
633,930
719,538
572,300
702,717
867,642
44,647
951,684
537,788
258,336
327,601
597,724
823,789
755,753
963,719
369,267
869,823
272,684
83,720
676,650
716,755
324,757
324,757
286,650
716,755
860,404
716,755
164,642
716,755
324,757
716,755
481,824
93,610
716,755
978,574
942,684
716,755
482,724
681,570
500,577
716,755
391,862
81,715
867,642
716,755
623,374
327,601
169,796
205,286
716,755
144,573
368,538
251,545
834,755
600,824
32,543
394,685
389,373
324,757
893,645
23,685
110,552
744,300
716,755
311,477
963,719
557,645
867,642
324,757
327,601
716,755
676,650
272,684
134,637
702,717
716,755
716,755
716,755
716,755
25,724
299,338
185,724
324,757
286,650
570,681
327,601
391,862
716,755
329,681
744,300
51,684
716,755
716,755
735,674
754,610
716,755
324,757
718,717
716,755
566,575
275,266
610,684
625,610
716,755
766,684
716,755
966,719
500,577
71,721
853,684
369,267
595,684
537,788
431,538
716,755
744,300
658,718
803,717
324,757
85,610
716,755
233,717
737,718
681,570
482,724
716,755
286,650
942,719
867,642
716,755
832,718
144,573
391,862
716,755
716,755
270,572
289,498
716,755
324,757
716,755
543,327
583,358
534,476
281,717
640,401
284,436
482,724
716,755
744,300
327,601
916,724
942,684
324,757
833,653
515,726
744,300
716,755
681,570
125,795
716,755
70,575
716,755
963,719
834,755
324,757
716,755
996,684
620,539
887,758
327,601
716,755
744,300
716,755
983,269
539,537
716,755
482,724
327,601
716,755
716,755
394,685
324,757
4,682
327,601
391,862
987,824
25,724
811,480
744,300
389,408
716,755
324,757
44,647
144,573
550,724
414,754
327,601
32,543
716,755
286,650
862,479
678,682
890,724
716,755
482,724
823,789
716,755
772,611
702,717
716,755
318,580
893,645
389,408
659,788
716,755
237,296
53,514
716,755
311,477
942,684
693,724
744,300
327,601
716,755
327,601
482,724
207,265
608,717
57,611
716,755
92,374
324,757
716,755
681,570
275,301
812,716
128,788
658,718
386,266
963,719
606,548
481,824
482,724
110,587
453,788
461,681
369,267
542,575
709,683
266,718
886,642
719,539
270,572
966,719
551,754
471,579
482,724
834,755
972,615
902,718
776,685
716,755
270,571
391,862
25,724
681,570
89,502
21,611
203,755
716,755
708,611
356,788
762,718
716,755
286,650
373,861
324,757
94,574
738,685
324,757
716,755
183,638
324,757
369,267
716,755
681,570
834,755
74,540
512,716
571,754
205,286
916,724
201,718
700,544
270,571
336,717
538,552
373,861
144,573
532,507
50,611
466,724
745,615
388,724
159,579
963,719
286,650
799,431
339,603
41,724
81,715
286,650
578,611
782,823
629,514
834,755
4,682
389,408
594,720
251,510
867,642
25,724
550,723
898,301
539,538
37,685
467,573
609,615
827,603
38,756
368,538
270,571
110,587
897,754
941,507
275,302
455,639
861,541
944,541
396,719
43,824
26,611
40,754
369,267
486,546
73,650
740,685
565,684
79,753
146,684
815,676
825,404
613,650
785,717
286,650
642,301
177,788
381,684
752,721
959,642
518,755
739,642
289,498
849,611
144,573
4,682
54,719
110,587
638,548
734,724
633,930
318,580
236,828
332,1000
783,468
280,718
270,571
887,759
372,684
63,823
918,788
716,755
567,784
131,514
796,430
283,755
976,755
348,685
770,514
610,649
394,685
103,373
321,754
927,719
884,719
878,672
654,514
574,684
702,717
822,724
926,642
627,614
27,640
916,724
550,724
513,611
286,650
272,684
122,541
389,408
165,724
735,674
674,502
924,650
286,650
980,724
962,719
682,650
25,724
787,573
886,641
270,571
905,576
351,611
253,648
482,724
115,796
652,824
110,587
496,304
581,724
300,642
834,755
160,648
699,409
851,648
241,611
799,431
736,755
233,717
53,549
997,509
386,266
389,408
681,570
498,788
275,302
500,577
989,755
58,573
983,234
531,11
399,754
584,791
916,724
244,552
438,724
89,503
900,304
737,753
4,682
200,544
74,540
222,754
389,408
75,685
966,719
848,647
890,724
939,541
525,685
39,787
324,757
745,650
760,755
78,642
834,755
339,568
87,754
475,717
578,611
256,538
437,823
876,304
446,637
271,611
155,576
286,650
28,760
554,724
456,611
223,339
22,432
745,650
887,758
867,642
242,824
626,408
758,602
138,931
25,724
369,267
930,754
522,681
20,545
813,327
834,755
641,266
729,442
979,824
965,327
11,754
270,571
703,636
695,754
707,719
251,510
510,754
537,788
304,576
149,754
132,719
968,724
154,681
240,642
755,718
166,683
742,682
749,639
658,718
671,754
349,613
232,724
746,685
834,755
316,823
637,541
552,684
807,545
262,585
467,573
439,538
826,533
663,471
490,724
470,642
171,823
255,637
718,752
709,684
389,408
66,755
741,502
550,723
270,571
823,790
693,723
421,473
722,724
13,724
102,548
740,720
380,436
23,720
239,754
275,302
518,754
716,720
891,542
25,724
414,754
162,655
617,473
423,754
508,535
419,605
759,679
2,612
538,551
665,717
203,720
106,723
435,117
319,573
868,724
466,723
684,231
375,724
108,542
4,682
619,539
125,796
405,724
658,718
35,514
25,724
690,618
726,684
369,267
862,480
853,719
460,476
959,641
114,326
799,431
