traj_id,cell_id,cell_names
287,95,C31
263,93,C24
303,82,C03
351,85,C11
305,101,C42
266,82,C03
282,80,C01
368,79,C00
338,102,C43
364,92,C23
286,86,C12
244,93,C24
218,91,C22
360,100,C41
397,86,C12
279,90,C21
239,82,C03
213,95,C31
240,81,C02
259,92,C23
301,94,C30
281,86,C12
371,85,C11
297,102,C43
352,87,C13
394,88,C14
393,91,C22
389,85,C11
284,85,C11
396,79,C00
215,81,C02
392,91,C22
269,90,C21
317,79,C00
318,94,C30
213,90,C21
201,86,C12
281,81,C02
306,99,C40
229,97,C33
359,82,C03
294,83,C04
256,89,C20
381,102,C43
216,102,C43
228,97,C33
335,102,C43
260,90,C21
246,85,C11
346,88,C14
315,101,C42
378,97,C33
378,92,C23
272,103,C44
262,91,C22
326,86,C12
377,85,C11
291,85,C11
211,95,C31
376,102,C43
390,101,C42
255,82,C03
227,85,C11
290,85,C11
278,100,C41
374,82,C03
373,85,C11
210,100,C41
249,88,C14
206,91,C22
332,90,C21
333,89,C20
334,87,C13
242,89,C20
207,91,C22
363,84,C10
314,95,C31
349,80,C01
276,83,C04
253,90,C21
391,89,C20
220,80,C01
267,102,C43
300,103,C44
251,103,C44
398,84,C10
218,96,C32
302,103,C44
254,96,C32
250,80,C01
296,84,C10
265,89,C20
355,84,C10
354,83,C04
212,80,C01
351,80,C01
293,79,C00
257,79,C00
348,88,C14
336,79,C00
379,80,C01
344,91,C22
357,103,C44
238,81,C02
273,82,C03
329,91,C22
345,84,C10
373,80,C01
253,95,C31
234,82,C03
366,101,C42
316,103,C44
220,85,C11
322,85,C11
320,94,C30
210,95,C31
258,83,C04
238,86,C12
256,84,C10
353,89,C20
239,87,C13
286,87,C13
266,83,C04
268,94,C30
273,87,C13
309,102,C43
313,80,C01
217,82,C03
247,89,C20
299,79,C00
288,82,C03
201,81,C02
367,93,C24
356,83,C04
274,88,C14
375,94,C30
395,82,C03
348,93,C24
307,91,C22
331,102,C43
341,93,C24
325,94,C30
295,96,C32
271,79,C00
298,90,C21
246,81,C02
394,93,C24
275,88,C14
222,80,C01
343,101,C42
292,101,C42
205,101,C42
385,81,C02
224,90,C21
280,80,C01
304,87,C13
247,94,C30
270,88,C14
322,80,C01
289,91,C22
326,87,C13
246,86,C12
286,82,C03
379,81,C02
342,103,C44
281,87,C13
337,102,C43
296,89,C20
265,94,C30
387,92,C23
312,80,C01
225,89,C20
226,91,C22
263,88,C14
363,89,C20
297,97,C33
377,81,C02
355,89,C20
208,88,C14
