grid_id,name,coordinates
340,C0:0,"((40.769274, -73.885077)(40.769274, -73.8819536)(40.76612923529412, -73.8819536)(40.76612923529412, -73.885077)(40.769274, -73.885077))"
340,C0:1,"((40.769274, -73.8819536)(40.769274, -73.8788302)(40.76612923529412, -73.8788302)(40.76612923529412, -73.8819536)(40.769274, -73.8819536))"
340,C0:2,"((40.769274, -73.8788302)(40.769274, -73.87570679999999)(40.76612923529412, -73.87570679999999)(40.76612923529412, -73.8788302)(40.769274, -73.8788302))"
340,C0:3,"((40.769274, -73.87570679999999)(40.769274, -73.8725834)(40.76612923529412, -73.8725834)(40.76612923529412, -73.87570679999999)(40.769274, -73.87570679999999))"
340,C0:4,"((40.769274, -73.8725834)(40.769274, -73.86946)(40.76612923529412, -73.86946)(40.76612923529412, -73.8725834)(40.769274, -73.8725834))"
340,C0:5,"((40.769274, -73.86946)(40.769274, -73.8663366)(40.76612923529412, -73.8663366)(40.76612923529412, -73.86946)(40.769274, -73.86946))"
340,C0:6,"((40.769274, -73.8663366)(40.769274, -73.86321319999999)(40.76612923529412, -73.86321319999999)(40.76612923529412, -73.8663366)(40.769274, -73.8663366))"
340,C0:7,"((40.769274, -73.86321319999999)(40.769274, -73.8600898)(40.76612923529412, -73.8600898)(40.76612923529412, -73.86321319999999)(40.769274, -73.86321319999999))"
340,C0:8,"((40.769274, -73.8600898)(40.769274, -73.8569664)(40.76612923529412, -73.8569664)(40.76612923529412, -73.8600898)(40.769274, -73.8600898))"
340,C0:9,"((40.769274, -73.8569664)(40.769274, -73.853843)(40.76612923529412, -73.853843)(40.76612923529412, -73.8569664)(40.769274, -73.8569664))"
340,C0:10,"((40.769274, -73.853843)(40.769274, -73.85071959999999)(40.76612923529412, -73.85071959999999)(40.76612923529412, -73.853843)(40.769274, -73.853843))"
340,C0:11,"((40.769274, -73.85071959999999)(40.769274, -73.8475962)(40.76612923529412, -73.8475962)(40.76612923529412, -73.85071959999999)(40.769274, -73.85071959999999))"
340,C0:12,"((40.769274, -73.8475962)(40.769274, -73.8444728)(40.76612923529412, -73.8444728)(40.76612923529412, -73.8475962)(40.769274, -73.8475962))"
340,C0:13,"((40.769274, -73.8444728)(40.769274, -73.8413494)(40.76612923529412, -73.8413494)(40.76612923529412, -73.8444728)(40.769274, -73.8444728))"
340,C0:14,"((40.769274, -73.8413494)(40.769274, -73.83822599999999)(40.76612923529412, -73.83822599999999)(40.76612923529412, -73.8413494)(40.769274, -73.8413494))"
340,C0:15,"((40.769274, -73.83822599999999)(40.769274, -73.8351026)(40.76612923529412, -73.8351026)(40.76612923529412, -73.83822599999999)(40.769274, -73.83822599999999))"
340,C0:16,"((40.769274, -73.8351026)(40.769274, -73.8319792)(40.76612923529412, -73.8319792)(40.76612923529412, -73.8351026)(40.769274, -73.8351026))"
340,C0:17,"((40.769274, -73.8319792)(40.769274, -73.8288558)(40.76612923529412, -73.8288558)(40.76612923529412, -73.8319792)(40.769274, -73.8319792))"
340,C0:18,"((40.769274, -73.8288558)(40.769274, -73.82573239999999)(40.76612923529412, -73.82573239999999)(40.76612923529412, -73.8288558)(40.769274, -73.8288558))"
340,C0:19,"((40.769274, -73.82573239999999)(40.769274, -73.822609)(40.76612923529412, -73.822609)(40.76612923529412, -73.82573239999999)(40.769274, -73.82573239999999))"
340,C1:0,"((40.76612923529412, -73.885077)(40.76612923529412, -73.8819536)(40.762984470588236, -73.8819536)(40.762984470588236, -73.885077)(40.76612923529412, -73.885077))"
340,C1:1,"((40.76612923529412, -73.8819536)(40.76612923529412, -73.8788302)(40.762984470588236, -73.8788302)(40.762984470588236, -73.8819536)(40.76612923529412, -73.8819536))"
340,C1:2,"((40.76612923529412, -73.8788302)(40.76612923529412, -73.87570679999999)(40.762984470588236, -73.87570679999999)(40.762984470588236, -73.8788302)(40.76612923529412, -73.8788302))"
340,C1:3,"((40.76612923529412, -73.87570679999999)(40.76612923529412, -73.8725834)(40.762984470588236, -73.8725834)(40.762984470588236, -73.87570679999999)(40.76612923529412, -73.87570679999999))"
340,C1:4,"((40.76612923529412, -73.8725834)(40.76612923529412, -73.86946)(40.762984470588236, -73.86946)(40.762984470588236, -73.8725834)(40.76612923529412, -73.8725834))"
340,C1:5,"((40.76612923529412, -73.86946)(40.76612923529412, -73.8663366)(40.762984470588236, -73.8663366)(40.762984470588236, -73.86946)(40.76612923529412, -73.86946))"
340,C1:6,"((40.76612923529412, -73.8663366)(40.76612923529412, -73.86321319999999)(40.762984470588236, -73.86321319999999)(40.762984470588236, -73.8663366)(40.76612923529412, -73.8663366))"
340,C1:7,"((40.76612923529412, -73.86321319999999)(40.76612923529412, -73.8600898)(40.762984470588236, -73.8600898)(40.762984470588236, -73.86321319999999)(40.76612923529412, -73.86321319999999))"
340,C1:8,"((40.76612923529412, -73.8600898)(40.76612923529412, -73.8569664)(40.762984470588236, -73.8569664)(40.762984470588236, -73.8600898)(40.76612923529412, -73.8600898))"
340,C1:9,"((40.76612923529412, -73.8569664)(40.76612923529412, -73.853843)(40.762984470588236, -73.853843)(40.762984470588236, -73.8569664)(40.76612923529412, -73.8569664))"
340,C1:10,"((40.76612923529412, -73.853843)(40.76612923529412, -73.85071959999999)(40.762984470588236, -73.85071959999999)(40.762984470588236, -73.853843)(40.76612923529412, -73.853843))"
340,C1:11,"((40.76612923529412, -73.85071959999999)(40.76612923529412, -73.8475962)(40.762984470588236, -73.8475962)(40.762984470588236, -73.85071959999999)(40.76612923529412, -73.85071959999999))"
340,C1:12,"((40.76612923529412, -73.8475962)(40.76612923529412, -73.8444728)(40.762984470588236, -73.8444728)(40.762984470588236, -73.8475962)(40.76612923529412, -73.8475962))"
340,C1:13,"((40.76612923529412, -73.8444728)(40.76612923529412, -73.8413494)(40.762984470588236, -73.8413494)(40.762984470588236, -73.8444728)(40.76612923529412, -73.8444728))"
340,C1:14,"((40.76612923529412, -73.8413494)(40.76612923529412, -73.83822599999999)(40.762984470588236, -73.83822599999999)(40.762984470588236, -73.8413494)(40.76612923529412, -73.8413494))"
340,C1:15,"((40.76612923529412, -73.83822599999999)(40.76612923529412, -73.8351026)(40.762984470588236, -73.8351026)(40.762984470588236, -73.83822599999999)(40.76612923529412, -73.83822599999999))"
340,C1:16,"((40.76612923529412, -73.8351026)(40.76612923529412, -73.8319792)(40.762984470588236, -73.8319792)(40.762984470588236, -73.8351026)(40.76612923529412, -73.8351026))"
340,C1:17,"((40.76612923529412, -73.8319792)(40.76612923529412, -73.8288558)(40.762984470588236, -73.8288558)(40.762984470588236, -73.8319792)(40.76612923529412, -73.8319792))"
340,C1:18,"((40.76612923529412, -73.8288558)(40.76612923529412, -73.82573239999999)(40.762984470588236, -73.82573239999999)(40.762984470588236, -73.8288558)(40.76612923529412, -73.8288558))"
340,C1:19,"((40.76612923529412, -73.82573239999999)(40.76612923529412, -73.822609)(40.762984470588236, -73.822609)(40.762984470588236, -73.82573239999999)(40.76612923529412, -73.82573239999999))"
340,C2:0,"((40.762984470588236, -73.885077)(40.762984470588236, -73.8819536)(40.75983970588236, -73.8819536)(40.75983970588236, -73.885077)(40.762984470588236, -73.885077))"
340,C2:1,"((40.762984470588236, -73.8819536)(40.762984470588236, -73.8788302)(40.75983970588236, -73.8788302)(40.75983970588236, -73.8819536)(40.762984470588236, -73.8819536))"
340,C2:2,"((40.762984470588236, -73.8788302)(40.762984470588236, -73.87570679999999)(40.75983970588236, -73.87570679999999)(40.75983970588236, -73.8788302)(40.762984470588236, -73.8788302))"
340,C2:3,"((40.762984470588236, -73.87570679999999)(40.762984470588236, -73.8725834)(40.75983970588236, -73.8725834)(40.75983970588236, -73.87570679999999)(40.762984470588236, -73.87570679999999))"
340,C2:4,"((40.762984470588236, -73.8725834)(40.762984470588236, -73.86946)(40.75983970588236, -73.86946)(40.75983970588236, -73.8725834)(40.762984470588236, -73.8725834))"
340,C2:5,"((40.762984470588236, -73.86946)(40.762984470588236, -73.8663366)(40.75983970588236, -73.8663366)(40.75983970588236, -73.86946)(40.762984470588236, -73.86946))"
340,C2:6,"((40.762984470588236, -73.8663366)(40.762984470588236, -73.86321319999999)(40.75983970588236, -73.86321319999999)(40.75983970588236, -73.8663366)(40.762984470588236, -73.8663366))"
340,C2:7,"((40.762984470588236, -73.86321319999999)(40.762984470588236, -73.8600898)(40.75983970588236, -73.8600898)(40.75983970588236, -73.86321319999999)(40.762984470588236, -73.86321319999999))"
340,C2:8,"((40.762984470588236, -73.8600898)(40.762984470588236, -73.8569664)(40.75983970588236, -73.8569664)(40.75983970588236, -73.8600898)(40.762984470588236, -73.8600898))"
340,C2:9,"((40.762984470588236, -73.8569664)(40.762984470588236, -73.853843)(40.75983970588236, -73.853843)(40.75983970588236, -73.8569664)(40.762984470588236, -73.8569664))"
