p_id,latitude,longitude
ChIJ-2sSIJ8xK4gRh0NyXj8DBCk.json,43.7292169,-79.4901472
ChIJ-cp0XJgxK4gRFEBkRUfRCBA.json,43.733187,-79.491159
ChIJ-fxXu6gxK4gRMlAdB5QyC_k.json,43.7308278,-79.5048769
ChIJ-UctXZsxK4gRh1NQz7qDG6A.json,43.7305073,-79.4834393
ChIJ-UctXZsxK4gRsecQn9wxkms.json,43.7312289,-79.4834113
ChIJ05iYxZwxK4gRaQ4Zpv-eCV8.json,43.7280451,-79.4824204
ChIJ06MbOpcxK4gRxEhiaikUfCo.json,43.7362101,-79.4880864
ChIJ0d0HUqwxK4gReKHZr47dOOE.json,43.7344927,-79.5118266
ChIJ0VvAepoxK4gR3wAwRzPl_NU.json,43.7341062,-79.4850724
ChIJ1-u7PJkxK4gRITLvrygeH3E.json,43.7312146,-79.4893096
ChIJ14R7rgAxK4gRRZe7JEdv87k.json,43.726998,-79.5100758
ChIJ183JF50xK4gRN8IxNFnq2A0.json,43.7265447,-79.4830596
ChIJ183JF50xK4gR_B3Sj4S027s.json,43.7266722,-79.4831255
ChIJ1e1bkZ0xK4gROSiV4-8EQ9U.json,43.7272696,-79.4853451
ChIJ1fv_PbAxK4gRVppQqz2yg4I.json,43.737447,-79.5055916
ChIJ2aCP8ZwxK4gRmx-sDKFk3fI.json,43.7282608,-79.4838721
ChIJ2SjPnqIxK4gRMFlEjgezTrE.json,43.7340477,-79.4932341
ChIJ2U3ksOwxK4gRn0DlwM_tSkU.json,43.7346488,-79.4839353
ChIJ2U3ksOwxK4gRoX36NGOSRQ4.json,43.7346488,-79.4839353
ChIJ2U3ksOwxK4gRxJgRN1ryWXQ.json,43.7346488,-79.4839353
ChIJ2XhDrbMxK4gRo0uWnJNzM8g.json,43.739521,-79.5119059
ChIJ2yDaHLMxK4gRGhrMvcA3eew.json,43.739744,-79.514338
ChIJ3coKCaIxK4gRAkg43Zlb1QU.json,43.7314365,-79.4930675
ChIJ3dsN-7IxK4gRlf2ru4xDxBg.json,43.7392537,-79.5123766
ChIJ3TWP3rIxK4gRjV8CDuTs_Kg.json,43.7394289,-79.5141706
ChIJ40OPXJoxK4gRndxD1DLXFok.json,43.7331591,-79.4849972
ChIJ4aM4tbMxK4gRLrnLSoweTX8.json,43.7394978,-79.5112558
ChIJ4e4Lh7IxK4gRQtiLU0pa4y4.json,43.7374607,-79.5126365
ChIJ4Sk2wbExK4gRUZtg8-WLAhU.json,43.7377403,-79.5080421
ChIJ55V515wxK4gR2dEisL2KN2Y.json,43.7275406,-79.4828571
ChIJ5RLd5ZoxK4gR9bttJ7OP-CM.json,43.7326161,-79.4831762
ChIJ5Yk7HZkxK4gR9ALVGTEAkAs.json,43.7320465,-79.4899689
ChIJ5zfWpKgxK4gREnHjCmo_lyM.json,43.7309297,-79.5047701
ChIJ6ziUQKIxK4gR3HuZ7QDvcrU.json,43.7319915,-79.4945462
ChIJ77J0E6QxK4gRIPl2v66z5p8.json,43.7322302,-79.4994764
ChIJ7Ts6qAAxK4gR0li-5DFBR4Q.json,43.727429,-79.510333
ChIJ8RsnRpMxK4gRp7rybr145wQ.json,43.7346488,-79.4839353
ChIJ91GVtQAxK4gRT7esPs_xgj0.json,43.7265457,-79.5099596
ChIJ936csJAxK4gR_soozXLG2w0.json,43.7354635,-79.4865215
ChIJ9bCcHgoxK4gRb1TC7YC6jPE.json,43.7323056,-79.4836774
ChIJ9QMECqIxK4gRGxmcZme8g3c.json,43.731516,-79.492909
ChIJ9SUdfZExK4gRKtKGBysc-Vk.json,43.7392208,-79.4851079
ChIJa2raZLAxK4gRdW6Rk3x1BrU.json,43.7384343,-79.5049112
ChIJa9oS4q0xK4gRjIYSCtTsqzM.json,43.7361042,-79.5098299
ChIJadR4SqwxK4gRYRtYoRs_MM4.json,43.734502,-79.511183
ChIJaTj0RqoxK4gR6lJgFFTMscY.json,43.7292001,-79.5113996
ChIJAU3OoJwxK4gRdpR915v1PsI.json,43.729559,-79.482725
ChIJAwdJHbMxK4gRSRIRxGSpmXA.json,43.7396312,-79.514411
ChIJAXtpIZwxK4gR4RZhVnf9UtY.json,43.7286224,-79.4873362
ChIJazc3HbMxK4gRHcHgWPu1aiA.json,43.7396312,-79.514411
ChIJazc3HbMxK4gR_7_9iY6vne4.json,43.7396312,-79.514411
ChIJb3ASwacxK4gRTk_igvWdo7k.json,43.7281474,-79.5029503
ChIJB9HphbwxK4gRm41AL0Ris7Q.json,43.7378922,-79.4979006
ChIJB9S9HKgxK4gRSASqPbcN8uc.json,43.72721,-79.5049066
ChIJbTTxSpoxK4gRey5NdaVe2HQ.json,43.7321466,-79.4851594
ChIJBwDA3pwxK4gRJjZMofFGiSY.json,43.7275214,-79.4827801
ChIJBxQt66sxK4gRa6_zeYpGgWc.json,43.7312833,-79.5111965
ChIJBxTi_5AxK4gRAUBxAamz3Sg.json,43.7369335,-79.4845115
ChIJB_g00a0xK4gR3tyMvRl49jM.json,43.7349767,-79.510133
ChIJc5Ez85oxK4gRAdPHmlOLSLo.json,43.733322,-79.483985
ChIJCTcJgLIxK4gROpmgyK1ELdw.json,43.7372096,-79.512633
ChIJD24Nra0xK4gR_OFecQjCGxc.json,43.734875,-79.5119137
ChIJd36dB6oxK4gRM0QkGKbCa3o.json,43.7284786,-79.5104294
ChIJDcR11akxK4gR5ypMgkJ-jEc.json,43.7272708,-79.5071275
ChIJdfCajKsxK4gRTjMce8PJmWc.json,43.7319689,-79.511354
ChIJdfCajKsxK4gRuMHjYUSaxnQ.json,43.7321602,-79.5112786
ChIJdTIFHbMxK4gRDpoo8KLj4FY.json,43.7396491,-79.5143427
ChIJDWJNAbIxK4gR3EXLFGRw7sY.json,43.7372317,-79.5100428
ChIJE0rQ9gcxK4gRCSNJaye-dG8.json,43.726725,-79.505049
ChIJE3DCF50xK4gRacIOHCc7VFY.json,43.7266801,-79.4831334
ChIJE4NLebwxK4gRwqjdzu62JtM.json,43.7385143,-79.4982033
ChIJEaJxdLoxK4gR5-qJbZCcx74.json,43.7397289,-79.5038337
ChIJeb8vk6sxK4gRuY-u7Pu4zGs.json,43.7315402,-79.511135
ChIJEX3ULDcxK4gRFEHc_j8iXks.json,43.7346477,-79.4839419
ChIJexCX9gcxK4gRLlZRBWKczI4.json,43.7267697,-79.5051254
ChIJEYD0TpwxK4gRLe3vgu5izDc.json,43.7279277,-79.4853593
ChIJffifuqAxK4gRxEXyHViaOu0.json,43.7270213,-79.4977879
ChIJFRtZ75oxK4gRQkUc4YJpWJM.json,43.731082,-79.482646
ChIJfSX2Ja8xK4gRxOc9Y5lzTD8.json,43.7324124,-79.5065167
ChIJFVkfnZoxK4gRd1aXcsKF7P0.json,43.734356,-79.483658
ChIJfwGg36UxK4gRpaXoivohDoY.json,43.731451,-79.5025096
ChIJg2qVvaExK4gR5vAf6fVMoPY.json,43.7295384,-79.4947579
ChIJg3TGrLMxK4gR_4SFmWhQgfU.json,43.7393907,-79.5121808
ChIJG9npkpoxK4gRzOM3PO8CWUU.json,43.7333593,-79.4836389
ChIJGaPnkpoxK4gRNcZXQ926av8.json,43.733633,-79.48343
ChIJgZG7KYMxK4gRGq0e86t6aWI.json,43.7270615,-79.4818135
ChIJh-QcHQsxK4gR6qQRslO4WL8.json,43.726601,-79.483951
ChIJh4y8HLMxK4gRqId37itBRwA.json,43.7396966,-79.514391
ChIJHegpR5MxK4gRV0mfKjUUIUc.json,43.7346488,-79.4839353
ChIJhQhgg5oxK4gRsWhPlSXl1jI.json,43.734219,-79.4838434
ChIJhR5rN5oxK4gRXFNfHCDkevY.json,43.7328715,-79.4861047
ChIJHXtUL6gxK4gRI0srj6SU5PA.json,43.727451,-79.5062652
ChIJhYLTCKIxK4gR1sD08sJXTd0.json,43.731357,-79.493226
ChIJI0BYmJ0xK4gR9oGA3rBrhO8.json,43.7264182,-79.4849666
ChIJI0BYmJ0xK4gRDtjm6iFTrII.json,43.7264252,-79.4849332
ChIJi4SOnboxK4gRM2_IThj_2w0.json,43.7379565,-79.5041021
ChIJI6-AdJ8xK4gRsI3sMLmf9jo.json,43.7283736,-79.4917414
ChIJibVqppwxK4gRNArL59wJCcI.json,43.7294674,-79.4822292
ChIJieHg8KYxK4gRpKmO05yPmNw.json,43.7296903,-79.5008645
ChIJIRu6oLoxK4gRhCe_tex6lkI.json,43.7373228,-79.5040778
ChIJIU35opwxK4gRYrMsKQBZeLc.json,43.732306,-79.483677
ChIJizY_RakxK4gRvrS0pqZ6ML4.json,43.7313329,-79.5089988
ChIJj1avILMxK4gRw4vJu_b0hE8.json,43.7396967,-79.5143904
ChIJj1A_iQAxK4gR19fbRIPmbRk.json,43.7269575,-79.51234
ChIJj5qi6LoxK4gR8qCQBUdleWY.json,43.7376181,-79.5020454
ChIJjdimuqYxK4gRy5HLxm5lhUo.json,43.7305181,-79.4991961
ChIJjWhemKoxK4gRMlk7IgTuT6g.json,43.728268,-79.5138751
