grid_id,name,coordinates
70,C0:0,"POLYGON((40.769274, -73.885077)(40.769274, -73.8788302)(40.761636714285714, -73.8788302)(40.761636714285714, -73.885077)(40.769274, -73.885077))"
70,C0:1,"POLYGON((40.769274, -73.8788302)(40.769274, -73.8725834)(40.761636714285714, -73.8725834)(40.761636714285714, -73.8788302)(40.769274, -73.8788302))"
70,C0:2,"POLYGON((40.769274, -73.8725834)(40.769274, -73.8663366)(40.761636714285714, -73.8663366)(40.761636714285714, -73.8725834)(40.769274, -73.8725834))"
70,C0:3,"POLYGON((40.769274, -73.8663366)(40.769274, -73.8600898)(40.761636714285714, -73.8600898)(40.761636714285714, -73.8663366)(40.769274, -73.8663366))"
70,C0:4,"POLYGON((40.769274, -73.8600898)(40.769274, -73.853843)(40.761636714285714, -73.853843)(40.761636714285714, -73.8600898)(40.769274, -73.8600898))"
70,C0:5,"POLYGON((40.769274, -73.853843)(40.769274, -73.8475962)(40.761636714285714, -73.8475962)(40.761636714285714, -73.853843)(40.769274, -73.853843))"
70,C0:6,"POLYGON((40.769274, -73.8475962)(40.769274, -73.8413494)(40.761636714285714, -73.8413494)(40.761636714285714, -73.8475962)(40.769274, -73.8475962))"
70,C0:7,"POLYGON((40.769274, -73.8413494)(40.769274, -73.8351026)(40.761636714285714, -73.8351026)(40.761636714285714, -73.8413494)(40.769274, -73.8413494))"
70,C0:8,"POLYGON((40.769274, -73.8351026)(40.769274, -73.8288558)(40.761636714285714, -73.8288558)(40.761636714285714, -73.8351026)(40.769274, -73.8351026))"
70,C0:9,"POLYGON((40.769274, -73.8288558)(40.769274, -73.822609)(40.761636714285714, -73.822609)(40.761636714285714, -73.8288558)(40.769274, -73.8288558))"
70,C1:0,"POLYGON((40.761636714285714, -73.885077)(40.761636714285714, -73.8788302)(40.75399942857143, -73.8788302)(40.75399942857143, -73.885077)(40.761636714285714, -73.885077))"
70,C1:1,"POLYGON((40.761636714285714, -73.8788302)(40.761636714285714, -73.8725834)(40.75399942857143, -73.8725834)(40.75399942857143, -73.8788302)(40.761636714285714, -73.8788302))"
70,C1:2,"POLYGON((40.761636714285714, -73.8725834)(40.761636714285714, -73.8663366)(40.75399942857143, -73.8663366)(40.75399942857143, -73.8725834)(40.761636714285714, -73.8725834))"
70,C1:3,"POLYGON((40.761636714285714, -73.8663366)(40.761636714285714, -73.8600898)(40.75399942857143, -73.8600898)(40.75399942857143, -73.8663366)(40.761636714285714, -73.8663366))"
70,C1:4,"POLYGON((40.761636714285714, -73.8600898)(40.761636714285714, -73.853843)(40.75399942857143, -73.853843)(40.75399942857143, -73.8600898)(40.761636714285714, -73.8600898))"
70,C1:5,"POLYGON((40.761636714285714, -73.853843)(40.761636714285714, -73.8475962)(40.75399942857143, -73.8475962)(40.75399942857143, -73.853843)(40.761636714285714, -73.853843))"
70,C1:6,"POLYGON((40.761636714285714, -73.8475962)(40.761636714285714, -73.8413494)(40.75399942857143, -73.8413494)(40.75399942857143, -73.8475962)(40.761636714285714, -73.8475962))"
70,C1:7,"POLYGON((40.761636714285714, -73.8413494)(40.761636714285714, -73.8351026)(40.75399942857143, -73.8351026)(40.75399942857143, -73.8413494)(40.761636714285714, -73.8413494))"
70,C1:8,"POLYGON((40.761636714285714, -73.8351026)(40.761636714285714, -73.8288558)(40.75399942857143, -73.8288558)(40.75399942857143, -73.8351026)(40.761636714285714, -73.8351026))"
70,C1:9,"POLYGON((40.761636714285714, -73.8288558)(40.761636714285714, -73.822609)(40.75399942857143, -73.822609)(40.75399942857143, -73.8288558)(40.761636714285714, -73.8288558))"
70,C2:0,"POLYGON((40.75399942857143, -73.885077)(40.75399942857143, -73.8788302)(40.746362142857144, -73.8788302)(40.746362142857144, -73.885077)(40.75399942857143, -73.885077))"
70,C2:1,"POLYGON((40.75399942857143, -73.8788302)(40.75399942857143, -73.8725834)(40.746362142857144, -73.8725834)(40.746362142857144, -73.8788302)(40.75399942857143, -73.8788302))"
70,C2:2,"POLYGON((40.75399942857143, -73.8725834)(40.75399942857143, -73.8663366)(40.746362142857144, -73.8663366)(40.746362142857144, -73.8725834)(40.75399942857143, -73.8725834))"
70,C2:3,"POLYGON((40.75399942857143, -73.8663366)(40.75399942857143, -73.8600898)(40.746362142857144, -73.8600898)(40.746362142857144, -73.8663366)(40.75399942857143, -73.8663366))"
70,C2:4,"POLYGON((40.75399942857143, -73.8600898)(40.75399942857143, -73.853843)(40.746362142857144, -73.853843)(40.746362142857144, -73.8600898)(40.75399942857143, -73.8600898))"
70,C2:5,"POLYGON((40.75399942857143, -73.853843)(40.75399942857143, -73.8475962)(40.746362142857144, -73.8475962)(40.746362142857144, -73.853843)(40.75399942857143, -73.853843))"
70,C2:6,"POLYGON((40.75399942857143, -73.8475962)(40.75399942857143, -73.8413494)(40.746362142857144, -73.8413494)(40.746362142857144, -73.8475962)(40.75399942857143, -73.8475962))"
70,C2:7,"POLYGON((40.75399942857143, -73.8413494)(40.75399942857143, -73.8351026)(40.746362142857144, -73.8351026)(40.746362142857144, -73.8413494)(40.75399942857143, -73.8413494))"
70,C2:8,"POLYGON((40.75399942857143, -73.8351026)(40.75399942857143, -73.8288558)(40.746362142857144, -73.8288558)(40.746362142857144, -73.8351026)(40.75399942857143, -73.8351026))"
70,C2:9,"POLYGON((40.75399942857143, -73.8288558)(40.75399942857143, -73.822609)(40.746362142857144, -73.822609)(40.746362142857144, -73.8288558)(40.75399942857143, -73.8288558))"
70,C3:0,"POLYGON((40.746362142857144, -73.885077)(40.746362142857144, -73.8788302)(40.738724857142856, -73.8788302)(40.738724857142856, -73.885077)(40.746362142857144, -73.885077))"
