t_coordinates,poi
POINT(43.73219 -79.50642),POINT(43.7324124 -79.5065167)
POINT(43.73256 -79.50658),POINT(43.7324124 -79.5065167)
POINT(43.73292 -79.50674),POINT(43.7324124 -79.5065167)
POINT(43.73302 -79.5068),POINT(43.7324124 -79.5065167)
POINT(43.73309 -79.50684),POINT(43.7324124 -79.5065167)
POINT(43.73322 -79.50693),POINT(43.7324124 -79.5065167)
POINT(43.7331110275412 -79.507554688151),POINT(43.732132 -79.5077054)
POINT(43.7329220550824 -79.5081193745201),POINT(43.732132 -79.5077054)
POINT(43.7327330826236 -79.5086840591074),POINT(43.7321142 -79.5092748)
POINT(43.7325441101648 -79.5092487419129),POINT(43.7321142 -79.5092748)
POINT(43.73246 -79.5095),POINT(43.7321142 -79.5092748)
POINT(43.73241 -79.50965),POINT(43.7321142 -79.5092748)
POINT(43.73236 -79.50976),POINT(43.7321142 -79.5092748)
POINT(43.7323 -79.50989),POINT(43.7321142 -79.5092748)
POINT(43.73226 -79.50995),POINT(43.7321142 -79.5092748)
POINT(43.7322 -79.51001),POINT(43.7321142 -79.5092748)
POINT(43.73213 -79.5101),POINT(43.7321142 -79.5092748)
POINT(43.73204 -79.51024),POINT(43.7321142 -79.5092748)
POINT(43.73197 -79.51038),POINT(43.7319689 -79.511354)
POINT(43.73197 -79.51038),POINT(43.7321602 -79.5112786)
POINT(43.73197 -79.51038),POINT(43.7315402 -79.511135)
POINT(43.73195 -79.51043),POINT(43.7319689 -79.511354)
POINT(43.73195 -79.51043),POINT(43.7321602 -79.5112786)
POINT(43.73195 -79.51043),POINT(43.7315402 -79.511135)
POINT(43.73194 -79.51049),POINT(43.7312833 -79.5111965)
POINT(43.73194 -79.51049),POINT(43.7319689 -79.511354)
POINT(43.73194 -79.51049),POINT(43.7321602 -79.5112786)
POINT(43.73194 -79.51049),POINT(43.7315402 -79.511135)
POINT(43.7319 -79.51063),POINT(43.7312833 -79.5111965)
POINT(43.7319 -79.51063),POINT(43.7319689 -79.511354)
POINT(43.7319 -79.51063),POINT(43.7321602 -79.5112786)
POINT(43.7319 -79.51063),POINT(43.7315402 -79.511135)
POINT(43.73188 -79.51081),POINT(43.7312833 -79.5111965)
POINT(43.73188 -79.51081),POINT(43.7319689 -79.511354)
POINT(43.73188 -79.51081),POINT(43.7321602 -79.5112786)
POINT(43.73188 -79.51081),POINT(43.7315402 -79.511135)
POINT(43.73185 -79.51107),POINT(43.7312833 -79.5111965)
POINT(43.73185 -79.51107),POINT(43.7319689 -79.511354)
POINT(43.73185 -79.51107),POINT(43.7321602 -79.5112786)
POINT(43.73185 -79.51107),POINT(43.7315402 -79.511135)
POINT(43.73182 -79.51119),POINT(43.7312833 -79.5111965)
POINT(43.73182 -79.51119),POINT(43.7319689 -79.511354)
POINT(43.73182 -79.51119),POINT(43.7321602 -79.5112786)
POINT(43.73182 -79.51119),POINT(43.7315402 -79.511135)
POINT(43.73182 -79.5112),POINT(43.7312833 -79.5111965)
POINT(43.73182 -79.5112),POINT(43.7319689 -79.511354)
POINT(43.73182 -79.5112),POINT(43.7321602 -79.5112786)
POINT(43.73182 -79.5112),POINT(43.7315402 -79.511135)
POINT(43.73183 -79.5112),POINT(43.7312833 -79.5111965)
POINT(43.73183 -79.5112),POINT(43.7319689 -79.511354)
POINT(43.73183 -79.5112),POINT(43.7321602 -79.5112786)
POINT(43.73183 -79.5112),POINT(43.7315402 -79.511135)
POINT(43.73211 -79.51127),POINT(43.7312833 -79.5111965)
POINT(43.73211 -79.51127),POINT(43.7319689 -79.511354)
POINT(43.73211 -79.51127),POINT(43.7321602 -79.5112786)
POINT(43.73211 -79.51127),POINT(43.7315402 -79.511135)
POINT(43.73231 -79.51131),POINT(43.7319689 -79.511354)
POINT(43.73231 -79.51131),POINT(43.7321602 -79.5112786)
POINT(43.73231 -79.51131),POINT(43.7315402 -79.511135)
POINT(43.7325 -79.51136),POINT(43.7319689 -79.511354)
POINT(43.7325 -79.51136),POINT(43.7321602 -79.5112786)
POINT(43.7325 -79.51136),POINT(43.7315402 -79.511135)
POINT(43.7327 -79.51142),POINT(43.7319689 -79.511354)
POINT(43.7327 -79.51142),POINT(43.7321602 -79.5112786)
POINT(43.73281 -79.51144),POINT(43.7319689 -79.511354)
POINT(43.73281 -79.51144),POINT(43.7321602 -79.5112786)
POINT(43.73303 -79.5115),POINT(43.7321602 -79.5112786)
POINT(43.73367 -79.51164),POINT(43.734502 -79.511183)
POINT(43.73367 -79.51164),POINT(43.7344927 -79.5118266)
POINT(43.73401 -79.51171),POINT(43.734502 -79.511183)
POINT(43.73401 -79.51171),POINT(43.734875 -79.5119137)
POINT(43.73401 -79.51171),POINT(43.7344927 -79.5118266)
POINT(43.73401 -79.51171),POINT(43.7347606 -79.511098)
POINT(43.73401 -79.51171),POINT(43.734826 -79.511523)
POINT(43.73413 -79.51174),POINT(43.734502 -79.511183)
POINT(43.73413 -79.51174),POINT(43.734875 -79.5119137)
POINT(43.73413 -79.51174),POINT(43.7344927 -79.5118266)
POINT(43.73413 -79.51174),POINT(43.7347606 -79.511098)
POINT(43.73413 -79.51174),POINT(43.734826 -79.511523)
POINT(43.7344 -79.5118),POINT(43.734502 -79.511183)
POINT(43.7344 -79.5118),POINT(43.734875 -79.5119137)
POINT(43.7344 -79.5118),POINT(43.7344927 -79.5118266)
POINT(43.7344 -79.5118),POINT(43.7347606 -79.511098)
POINT(43.7344 -79.5118),POINT(43.734826 -79.511523)
POINT(43.73459 -79.51185),POINT(43.734502 -79.511183)
POINT(43.73459 -79.51185),POINT(43.734875 -79.5119137)
POINT(43.73459 -79.51185),POINT(43.7344927 -79.5118266)
POINT(43.73459 -79.51185),POINT(43.7347606 -79.511098)
POINT(43.73459 -79.51185),POINT(43.7354125 -79.5120394)
POINT(43.73459 -79.51185),POINT(43.734826 -79.511523)
POINT(43.73468 -79.51147),POINT(43.734502 -79.511183)
POINT(43.73468 -79.51147),POINT(43.734875 -79.5119137)
POINT(43.73468 -79.51147),POINT(43.7344927 -79.5118266)
POINT(43.73468 -79.51147),POINT(43.7347606 -79.511098)
POINT(43.73468 -79.51147),POINT(43.7354125 -79.5120394)
POINT(43.73468 -79.51147),POINT(43.734826 -79.511523)
POINT(43.7348089096005 -79.5108737951356),POINT(43.734502 -79.511183)
POINT(43.7348089096005 -79.5108737951356),POINT(43.7349767 -79.510133)
POINT(43.7348089096005 -79.5108737951356),POINT(43.7355735 -79.5109983)
POINT(43.7348089096005 -79.5108737951356),POINT(43.7347606 -79.511098)
POINT(43.7348089096005 -79.5108737951356),POINT(43.734826 -79.511523)
POINT(43.73484 -79.51073),POINT(43.734502 -79.511183)
POINT(43.73484 -79.51073),POINT(43.7349767 -79.510133)
POINT(43.73484 -79.51073),POINT(43.7355735 -79.5109983)
POINT(43.73484 -79.51073),POINT(43.7347606 -79.511098)
POINT(43.73484 -79.51073),POINT(43.734826 -79.511523)
POINT(43.7349747164885 -79.5101362576938),POINT(43.7349767 -79.510133)
POINT(43.7349747164885 -79.5101362576938),POINT(43.7347606 -79.511098)
POINT(43.7351094329769 -79.5095425140519),POINT(43.7349767 -79.510133)
POINT(43.7351094329769 -79.5095425140519),POINT(43.7352239 -79.5090141)
POINT(43.73511 -79.50954),POINT(43.7349767 -79.510133)
POINT(43.73511 -79.50954),POINT(43.7352239 -79.5090141)
POINT(43.7352415502446 -79.5089448966952),POINT(43.7352239 -79.5090141)
POINT(43.73532 -79.50859),POINT(43.7352239 -79.5090141)
POINT(43.73534 -79.50849),POINT(43.7352239 -79.5090141)
POINT(43.73182 -79.48789),POINT(43.731608 -79.4875668)
POINT(43.73182 -79.48789),POINT(43.7322852 -79.4887188)
POINT(43.7322519790867 -79.4880627911297),POINT(43.731608 -79.4875668)
POINT(43.7322519790867 -79.4880627911297),POINT(43.7322852 -79.4887188)
POINT(43.73242 -79.48813),POINT(43.731608 -79.4875668)
POINT(43.73242 -79.48813),POINT(43.7322852 -79.4887188)
POINT(43.7322832004659 -79.48872280401),POINT(43.7322852 -79.4887188)
POINT(43.73218 -79.48917),POINT(43.7320465 -79.4899689)
POINT(43.73218 -79.48917),POINT(43.7312146 -79.4893096)
POINT(43.73218 -79.48917),POINT(43.7322852 -79.4887188)
POINT(43.73215 -79.4893),POINT(43.7320465 -79.4899689)
POINT(43.73215 -79.4893),POINT(43.7312146 -79.4893096)
POINT(43.73215 -79.4893),POINT(43.7322852 -79.4887188)
POINT(43.73212 -79.48947),POINT(43.7320465 -79.4899689)
POINT(43.73212 -79.48947),POINT(43.7312146 -79.4893096)
POINT(43.73212 -79.48947),POINT(43.7322852 -79.4887188)
POINT(43.73208 -79.48965),POINT(43.7320465 -79.4899689)
POINT(43.73208 -79.48965),POINT(43.7312146 -79.4893096)
POINT(43.73208 -79.48965),POINT(43.7322852 -79.4887188)
POINT(43.73206 -79.48979),POINT(43.7320465 -79.4899689)
POINT(43.73206 -79.48979),POINT(43.7312146 -79.4893096)
POINT(43.73205 -79.48989),POINT(43.7320465 -79.4899689)
POINT(43.73205 -79.48998),POINT(43.7320465 -79.4899689)
POINT(43.73204 -79.49013),POINT(43.7320465 -79.4899689)
POINT(43.73203 -79.49026),POINT(43.7320465 -79.4899689)
POINT(43.73202 -79.49035),POINT(43.7320465 -79.4899689)
POINT(43.73201 -79.49052),POINT(43.7320465 -79.4899689)
POINT(43.73199 -79.49065),POINT(43.7320465 -79.4899689)
POINT(43.7315704559471 -79.4925059104626),POINT(43.731516 -79.492909)
POINT(43.7315704559471 -79.4925059104626),POINT(43.731357 -79.493226)
POINT(43.7315704559471 -79.4925059104626),POINT(43.7314365 -79.4930675)
POINT(43.73145 -79.49306),POINT(43.731516 -79.492909)
POINT(43.73145 -79.49306),POINT(43.731357 -79.493226)
POINT(43.73145 -79.49306),POINT(43.7314365 -79.4930675)
POINT(43.731315198048 -79.4936536702082),POINT(43.731516 -79.492909)
POINT(43.731315198048 -79.4936536702082),POINT(43.731357 -79.493226)
POINT(43.731315198048 -79.4936536702082),POINT(43.7314365 -79.4930675)
POINT(43.731315198048 -79.4936536702082),POINT(43.730372 -79.4938746)
POINT(43.731315198048 -79.4936536702082),POINT(43.731338 -79.4944327)
POINT(43.731180396096 -79.4942473390801),POINT(43.7319915 -79.4945462)
POINT(43.731180396096 -79.4942473390801),POINT(43.730372 -79.4938746)
POINT(43.731180396096 -79.4942473390801),POINT(43.730998 -79.495197)
