id,distance,time,trajectory
0,1.5 km,3 mins,"[(43.73219 -79.50642,43.73256 -79.50658,43.73292 -79.50674,43.73302 -79.5068,43.73309 -79.50684,43.73322 -79.50693,43.7333 -79.50699,43.7333 -79.50699,43.73311102754118 -79.50755468815099,43.732922055082376 -79.50811937452012,43.73273308262358 -79.50868405910742,43.732544110164795 -79.50924874191291,43.73246 -79.5095,43.73241 -79.50965,43.73236 -79.50976,43.7323 -79.50989,43.73226 -79.50995,43.7322 -79.51001,43.73213 -79.5101,43.73204 -79.51024,43.73197 -79.51038,43.73195 -79.51043,43.73194 -79.51049,43.7319 -79.51063,43.73188 -79.51081,43.73185 -79.51107,43.73182 -79.51119,43.73182 -79.5112,43.73183 -79.5112,43.73183 -79.5112,43.73211 -79.51127,43.73231 -79.51131,43.7325 -79.51136,43.7327 -79.51142,43.73281 -79.51144,43.73303 -79.5115,43.73347414691958 -79.51159715681695,43.73367 -79.51164,43.73401 -79.51171,43.73413 -79.51174,43.7344 -79.5118,43.73459 -79.51185,43.73459 -79.51185,43.73468 -79.51147,43.73480890960052 -79.51087379513558,43.73484 -79.51073,43.73497471648846 -79.5101362576938,43.73510943297692 -79.50954251405189,43.73511 -79.50954,43.735241550244574 -79.50894489669516,43.73532 -79.50859,43.73534 -79.50849,43.73541 -79.50802,43.7355 -79.50748,43.73557 -79.50705,43.7356 -79.50689,43.73561 -79.50684,43.73563 -79.50678,43.73564 -79.50675,43.73565 -79.50671,43.73567 -79.50668,43.7357 -79.50662,43.73574 -79.50658,43.73578 -79.50652,43.736 -79.50623,43.73609 -79.50612,43.73613 -79.50606,43.73613 -79.50606,43.7363 -79.5063,43.73634 -79.50633,43.73637 -79.50634,43.736800388637455 -79.50652024590448,43.737230777274895 -79.50670049310452,43.73754 -79.50683)]"
1,1.0 km,2 mins,"[(43.73182 -79.48789,43.732251979086726 -79.48806279112966,43.73242 -79.48813,43.73242 -79.48813,43.732283200465936 -79.48872280400998,43.73218 -79.48917,43.73215 -79.4893,43.73212 -79.48947,43.73208 -79.48965,43.73206 -79.48979,43.73205 -79.48989,43.73205 -79.48998,43.73204 -79.49013,43.73203 -79.49026,43.73202 -79.49035,43.73201 -79.49052,43.73199 -79.49065,43.7319 -79.49102,43.73182 -79.49141,43.73173 -79.49179,43.7317 -79.49191,43.731570455947114 -79.49250591046264,43.73145 -79.49306,43.731315198047994 -79.49365367020818,43.73118039609598 -79.49424733908012,43.73104559414398 -79.49484100661586,43.73093 -79.49535,43.73093 -79.49535,43.73049981001276 -79.49516886572898,43.7300696200255 -79.49498773275897,43.72998 -79.49495,43.72998 -79.49495,43.72996 -79.495,43.72995 -79.49506,43.72981782930281 -79.49565478735568,43.72968565860563 -79.49624957339883,43.729553487908454 -79.49684435812945,43.72951 -79.49704)]"
2,1.4 km,3 mins,"[(43.73545 -79.50966,43.73537 -79.50964,43.73532 -79.50962,43.73527 -79.50961,43.73511 -79.50954,43.73511 -79.50954,43.734975286597965 -79.5101337449889,43.73484057319595 -79.51072748864212,43.73484 -79.51073,43.734711091146906 -79.5113262054835,43.73468 -79.51147,43.73459 -79.51185,43.73459 -79.51185,43.73457 -79.51196,43.73438 -79.51192,43.73411 -79.51185,43.73401 -79.51182,43.73377 -79.51176,43.73357 -79.51171,43.73328 -79.51165,43.732836634370635 -79.5115462335293,43.73281 -79.51154,43.73258 -79.51149,43.73215 -79.5114,43.73178 -79.51131,43.73178 -79.51131,43.73167 -79.51129,43.73168 -79.51117,43.73183 -79.5112,43.73182 -79.5112,43.73182 -79.51119,43.73185 -79.51107,43.73188 -79.51081,43.7319 -79.51063,43.73194 -79.51049,43.73195 -79.51043,43.73197 -79.51038,43.73204 -79.51024,43.73213 -79.5101,43.7322 -79.51001,43.73226 -79.50995,43.7323 -79.50989,43.73236 -79.50976,43.73241 -79.50965,43.73246 -79.5095,43.73264898203554 -79.50893532412601,43.732837964071074 -79.50837064647014,43.7330269461066 -79.50780596703235,43.733215928142116 -79.50724128581265,43.7333 -79.50699,43.733488361356564 -79.50642491914255,43.73359 -79.50612,43.73376 -79.50561,43.73377 -79.50557,43.73378 -79.50553,43.73379 -79.5055,43.73379 -79.50547,43.73379 -79.50543,43.73379 -79.5054,43.73379 -79.50537,43.73379 -79.50532,43.733745237314764 -79.50470077482643,43.73373 -79.50449,43.73372 -79.50442,43.73372 -79.50439,43.73371 -79.50435,43.73369 -79.5043,43.73367 -79.50427,43.73365 -79.50424,43.73363 -79.50421,43.7336 -79.50419,43.73358 -79.50418,43.73354 -79.50417,43.73345 -79.50415,43.73335 -79.50413,43.73325 -79.5041,43.7332 -79.50409,43.73316 -79.50408,43.73312 -79.50407,43.73309 -79.50405,43.73298 -79.50401,43.73285 -79.50395,43.7328 -79.50393,43.73278 -79.50392,43.73278 -79.50392,43.732908694835935 -79.50332372519122,43.73303738967187 -79.50272744910109,43.73308 -79.50253,43.73309 -79.50248)]"
3,0.5 km,2 mins,"[(43.73065 -79.48447,43.73058 -79.48445,43.73057 -79.48445,43.73056 -79.48445,43.73055 -79.48445,43.73054 -79.48445,43.73052 -79.48446,43.73051 -79.48446,43.73051 -79.48447,43.7305 -79.48448,43.7305 -79.48449,43.73049 -79.48451,43.73046 -79.48464,43.73032474997247 -79.48523346518134,43.730189499944956 -79.48582692902252,43.73005424991744 -79.48642039152357,43.72997 -79.48679,43.7299 -79.48708,43.7299 -79.48708,43.72968 -79.48699,43.7292477363441 -79.4868185846618,43.7291 -79.48676,43.7291 -79.48676,43.72914 -79.48657,43.72919 -79.48637,43.72923 -79.48619,43.72929 -79.48596,43.72934 -79.48577,43.72939 -79.48556,43.72945 -79.4853,43.72957844377265 -79.48470365467533,43.72959 -79.48465,43.72961 -79.48458)]"
4,1.4 km,3 mins,"[(43.73605 -79.5122,43.73611 -79.51221,43.7365 -79.51232,43.73683 -79.51241,43.73711 -79.51248,43.73736 -79.51255,43.73763 -79.51263,43.73803 -79.51274,43.73825 -79.5128,43.73845 -79.51285,43.73866 -79.51292,43.73884 -79.51297,43.739280202204334 -79.5130969812322,43.73936 -79.51312,43.73936 -79.51312,43.7394 -79.51293,43.73943 -79.51278,43.73945 -79.51268,43.73947 -79.51254,43.73947 -79.51248,43.73949 -79.51222,43.73949 -79.51213,43.73948 -79.51197,43.73948 -79.51186,43.73947 -79.51177,43.73946 -79.51172,43.73945 -79.5116,43.73944 -79.51151,43.73943 -79.51143,43.73942 -79.51137,43.73941 -79.51119,43.73941 -79.51107,43.73942 -79.51101,43.73942 -79.51092,43.73942 -79.51088,43.73942 -79.51084,43.73943 -79.51078,43.73944 -79.51068,43.73946 -79.51056,43.73948 -79.51043,43.73951 -79.51029,43.73957 -79.51,43.73963 -79.50977,43.73965 -79.50965,43.73969 -79.50948,43.73973 -79.50929,43.73976 -79.50917,43.73989 -79.50862,43.74001752854915 -79.50802317458952,43.74014 -79.50745,43.74027613819846 -79.50685682664883,43.74028 -79.50684,43.74041219579625 -79.5062451194042,43.74042 -79.50621,43.74055681819436 -79.50561712368096,43.7406 -79.50543,43.74073011022344 -79.50483423599178,43.74079 -79.50456,43.74084 -79.5043,43.74089 -79.50407,43.74102563498027 -79.5034765984092,43.74105 -79.50337,43.74105 -79.50337,43.74095 -79.50333,43.74071 -79.50323,43.74048 -79.50313,43.74028 -79.50305,43.74013 -79.50299,43.74007 -79.50296,43.74003 -79.50294,43.73993 -79.50291,43.73993 -79.50291,43.73989 -79.50313,43.73975 -79.50372,43.73974 -79.5038)]"
5,0.6 km,2 mins,"[(43.72793 -79.48359,43.72829 -79.48375,43.72829 -79.48375,43.72840994318322 -79.48315028559556,43.72843 -79.48305,43.72855 -79.48253,43.72855 -79.48253,43.72857 -79.4824,43.72863 -79.48242,43.72875 -79.48245,43.72885 -79.48248,43.72909 -79.48254,43.72915 -79.48261,43.72945 -79.48269,43.72968 -79.48274,43.7299 -79.4828,43.73034 -79.4829,43.73074 -79.483,43.73116 -79.48311,43.73116 -79.48311,43.73103737492502 -79.4837087023162,43.73099 -79.48394,43.73099 -79.48394,43.73112 -79.48399,43.7314 -79.48408,43.731838101526215 -79.48422019233962,43.7319 -79.48424)]"
6,4.0 km,9 mins,"[(43.73644 -79.49821,43.73643 -79.49815,43.73636 -79.49788,43.73633 -79.49778,43.73629 -79.49769,43.73625 -79.4976,43.7362 -79.49751,43.7361 -79.49736,43.73597 -79.49716,43.7358 -79.49691,43.73574 -79.49683,43.73571 -79.49677,43.73568 -79.4967,43.73566 -79.49665,43.73563 -79.49655,43.73562 -79.49647,43.73562 -79.4964,43.73562 -79.49634,43.73563 -79.49629,43.73564 -79.49625,43.73567 -79.49618,43.73582 -79.49601,43.7359 -79.49592,43.73596 -79.49583,43.73602 -79.49573,43.73608 -79.49561,43.7362 -79.49536,43.73636 -79.49507,43.73645 -79.49492,43.73661 -79.49471,43.73687 -79.49441,43.73694 -79.49431,43.73703 -79.49423,43.7371 -79.49417,43.73731 -79.49407,43.73747 -79.49401,43.7377 -79.49391,43.73786 -79.49386,43.73803 -79.49383,43.73815 -79.49383,43.73821 -79.49384,43.73828 -79.49386,43.73846 -79.49391,43.73859 -79.49395,43.73876 -79.49402,43.73886 -79.49408,43.7391 -79.49423,43.73929 -79.49438,43.73936 -79.49445,43.73942 -79.49451,43.7395 -79.49458,43.73962 -79.49473,43.73973 -79.49485,43.74005 -79.49525,43.74018 -79.49541,43.74031 -79.49557,43.7404 -79.49567,43.74051 -79.49577,43.7406 -79.49584,43.74073 -79.4959,43.74088 -79.49596,43.74099 -79.49602,43.7411 -79.49606,43.74128 -79.49614,43.74138 -79.49616,43.74146 -79.49618,43.74169 -79.49621,43.74184 -79.49622,43.74201 -79.49626,43.74215 -79.49628,43.74236 -79.49634,43.74252 -79.49639,43.74259 -79.49642,43.74259 -79.49642,43.74267 -79.49647,43.742535855951196 -79.4970640668574,43.74253 -79.49709,43.74249 -79.49728,43.74235826331859 -79.49787509633889,43.7422265266372 -79.4984701913683,43.7422 -79.49859,43.74208 -79.49913,43.74194695949772 -79.49972453627707,43.74181391899544 -79.50031907123298,43.74176 -79.50056,43.74171 -79.50081,43.74157258084864 -79.5014026213986,43.74155 -79.5015,43.741421532944 -79.50209645494988,43.74141 -79.50215,43.74127318109317 -79.50274288445279,43.74123 -79.50293,43.74113 -79.5034,43.74099436540645 -79.50399340279456,43.74097 -79.5041,43.74086 -79.50459,43.74074 -79.50515,43.74066 -79.50548,43.74052701040644 -79.50607454399697,43.74049 -79.50624,43.74036650943322 -79.50683845474899,43.74036 -79.50687,43.74033 -79.507,43.74032 -79.50706,43.74025 -79.50734,43.74016 -79.50776,43.74008 -79.50811,43.74003 -79.50833,43.73995 -79.50866,43.73984 -79.5092,43.73973 -79.50969,43.73965 -79.51003,43.73959 -79.51032,43.73957 -79.51039,43.73954 -79.51056,43.73952 -79.51066,43.73951 -79.51074,43.7395 -79.51086,43.7395 -79.51092,43.73949 -79.51108,43.73949 -79.51111,43.7395 -79.51122,43.7395 -79.51129,43.73951 -79.51143,43.73952 -79.51151,43.73953 -79.51158,43.73954 -79.51164,43.73955 -79.51171,43.73956 -79.51178,43.73957 -79.51185,43.73958 -79.51192,43.73958 -79.51197,43.73959 -79.51202,43.73959 -79.51208,43.73959 -79.51213,43.73959 -79.51221,43.73959 -79.51227,43.73959 -79.51236,43.73958 -79.51242,43.73958 -79.5125,43.73957 -79.51256,43.73957 -79.51262,43.73956 -79.51269,43.73954 -79.51279,43.73946 -79.51314,43.73946 -79.51314,43.73943 -79.5133,43.73933 -79.51328,43.73899 -79.51318,43.73893 -79.51316,43.73883 -79.51313,43.73864 -79.51305,43.73842 -79.51298,43.73823 -79.51292,43.73801 -79.51286,43.73761 -79.51274,43.73746 -79.5127,43.73701947517783 -79.51257518429433,43.73686 -79.51253,43.73681 -79.51252,43.73649 -79.51243,43.73611 -79.51233,43.73566802682032 -79.51221541416996,43.73557 -79.51219,43.73532 -79.51214,43.73515 -79.51209,43.73470612250885 -79.51199050998838,43.73457 -79.51196,43.73438 -79.51192,43.73411 -79.51185,43.73401 -79.51182,43.73377 -79.51176,43.73357 -79.51171,43.73328 -79.51165,43.732836634370635 -79.5115462335293,43.73281 -79.51154,43.73258 -79.51149,43.73215 -79.5114,43.73178 -79.51131,43.73167 -79.51129,43.73139 -79.51122,43.73118 -79.51117,43.73084 -79.51109,43.7303950865488 -79.51099981439188,43.7301 -79.51094,43.72993 -79.5109,43.72978 -79.51087,43.72947 -79.5108,43.72929 -79.51076,43.72929 -79.51076,43.72927 -79.51086,43.72926 -79.51092,43.72922 -79.51127,43.72918 -79.51153,43.72917 -79.51165,43.72916 -79.51171,43.72915 -79.51177,43.72914 -79.51184,43.72912 -79.51192,43.72900005675773 -79.51251972149132,43.72893 -79.51287,43.72888 -79.51313,43.7288 -79.5135,43.72877 -79.51366,43.72876 -79.51371,43.72875 -79.51376,43.72874 -79.51378,43.72873 -79.51381,43.7287 -79.51385,43.72867 -79.51389,43.72863 -79.51392,43.72861 -79.51392,43.72859 -79.51393,43.72856 -79.51393,43.72853 -79.51393,43.7285 -79.51392,43.72846 -79.51392,43.72833 -79.51389,43.72814 -79.51385)]"
7,1.3 km,3 mins,"[(43.73717 -79.49156,43.73726 -79.4912,43.73737 -79.49074,43.73737 -79.49074,43.73723 -79.49065,43.73714 -79.49056,43.73705 -79.49047,43.736705116644586 -79.49007066106181,43.73667 -79.49003,43.73653 -79.48986,43.73645 -79.48976,43.7364 -79.48968,43.73638 -79.48964,43.73633 -79.48956,43.7363 -79.48946,43.73627 -79.48937,43.73625 -79.48928,43.73623 -79.4892,43.73623 -79.48911,43.73622 -79.48903,43.73623 -79.48895,43.73623 -79.48886,43.73624 -79.48878,43.73626 -79.4887,43.73628 -79.48859,43.73631 -79.48845,43.736444133236645 -79.48785599023518,43.73657826647329 -79.48726197913975,43.73659 -79.48721,43.73663 -79.48705,43.73665 -79.48695,43.73667 -79.48675,43.736750194292746 -79.48613763041172,43.73683038858549 -79.48552526000331,43.73689 -79.48507,43.73693 -79.48473,43.73693 -79.48473,43.73692 -79.48455,43.73647721742447 -79.48444156336404,43.73643 -79.48443,43.73638 -79.48442,43.73634 -79.48441,43.73632 -79.4844,43.73631 -79.48439,43.73628 -79.48437,43.73625 -79.48433,43.73615 -79.48431,43.735707776889015 -79.48419727633215,43.73564 -79.48418,43.73519680592987 -79.48407483504378,43.73505 -79.48404,43.73465 -79.48394,43.73436 -79.48388,43.73407 -79.48381,43.73395 -79.48378,43.73358 -79.4837,43.73358 -79.4837,43.73356 -79.48384,43.73353 -79.48396,43.73351 -79.48406,43.73348 -79.4842,43.73345 -79.48432,43.73342 -79.48441,43.73339 -79.48449,43.73337 -79.48455,43.73335 -79.4846,43.73331 -79.48468,43.73328 -79.48473,43.73328 -79.48473,43.7332 -79.48467,43.73306 -79.48461,43.7327 -79.48451,43.73236 -79.48439,43.73192232464919 -79.48424727972223,43.7319 -79.48424,43.73159 -79.48414)]"
8,0.6 km,2 mins,"[(43.73225 -79.50645,43.73219 -79.50642,43.73175974309747 -79.50623916656836,43.7315 -79.50613,43.7315 -79.50613,43.73136273711869 -79.50672258973073,43.731225474237384 -79.50731517810331,43.73109 -79.5079,43.73105 -79.50808,43.73102 -79.50825,43.730922041736676 -79.50885734146104,43.73092 -79.50887,43.73092 -79.50887,43.73048148222277 -79.50873232482034,43.73006 -79.5086,43.73006 -79.5086,43.73001 -79.5088,43.72998 -79.50893,43.72994 -79.50906,43.72989 -79.50919,43.72989 -79.50919,43.72966 -79.50896,43.72961 -79.5089,43.72955 -79.50886,43.72946 -79.50882,43.72938 -79.5088,43.72919 -79.50874,43.72912 -79.50873,43.72906 -79.50872,43.729 -79.50869,43.7289 -79.50866)]"
9,1.0 km,2 mins,"[(43.72787 -79.50415,43.72799 -79.50361,43.72799 -79.50361,43.72825 -79.50372,43.72829 -79.50374,43.72831 -79.50374,43.72836 -79.50375,43.72841 -79.50374,43.72846 -79.50372,43.72851 -79.50368,43.72861 -79.5036,43.729 -79.5033,43.72902 -79.50327,43.72906 -79.50324,43.72908 -79.50321,43.7291 -79.50318,43.72912 -79.50315,43.72914 -79.50313,43.72915 -79.5031,43.72917 -79.50306,43.72919 -79.50298,43.72925 -79.50277,43.7293867961393 -79.50217722451119,43.72952 -79.5016,43.72965707894309 -79.50100734696521,43.72979415788616 -79.50041469257403,43.72986 -79.50013,43.729998657238504 -79.49953804715712,43.73012 -79.49902,43.73012 -79.49902,43.72968959899226 -79.4988398307849,43.72926 -79.49866,43.72916 -79.49861,43.72916 -79.49861,43.729292351641824 -79.49801529623717,43.72942470328363 -79.4974205911602,43.72955705492543 -79.49682588476911,43.72968940656721 -79.49623117706386,43.729821758209006 -79.49563646804445,43.72995 -79.49506,43.72996 -79.495,43.72998 -79.49495,43.73001 -79.49488,43.73003 -79.49483,43.73017 -79.49459,43.73021 -79.49452)]"
